Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20
,Sydney,,,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,9,15,21,24,31,32,38,51,55,68,80,95,113,143,169,220,255,299,369,463,548,649,755,874,988,1120,1202,1280,1328,1413,1494,1556,1632,1685,1733,1758,1787,1823,1851,1869,1881,1883,1888,1898,1907,1916,1921,1929,1934,1937,1940,1943,1949,1953,1955,1955,1959,1967,1969,1974,1976,1978,1978,1982,1986,1988,1989,1991,1992,1992,1992,1995,1997,2001,2001,2001,2001,2002,2004,2005,2008,2008,2009,2011,2012,2014,2014,2014,2014,2016,2020,2024,2025,2027,2030,2030,2031,2033,2033,2036,2036,2039,2042,2048,2053,2053,2053,2055,2056,2057,2057,2058,2059,2064,2068,2070,2074,2077,2080,2082,2089,2089,2089,2089
,Northern,,,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,7,12,14,17,17,18,21,23,29,31,33,37,46,54,74,77,88,102,133,157,180,221,254,280,324,349,360,376,404,425,436,459,469,477,480,489,497,502,508,510,510,511,514,518,520,521,522,525,527,529,529,530,532,532,532,534,534,534,535,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,537,537,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,539,539,540,541,541,541,544,544,544,545
,South Eastern,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,5,6,7,12,15,25,34,44,55,75,100,118,156,198,221,265,298,335,371,412,434,455,466,487,513,535,552,577,596,609,621,632,639,646,651,653,655,656,659,661,663,667,667,667,667,667,668,669,669,669,669,669,669,670,670,670,670,670,670,670,670,670,670,670,670,672,672,672,672,672,672,672,672,672,672,672,672,672,672,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,674,675,675,675,675,675,675,676
,South Western,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,5,6,6,8,11,15,17,22,31,39,57,65,73,88,112,130,140,147,154,161,166,170,177,182,189,193,197,205,213,218,220,220,220,223,224,227,227,229,229,229,229,229,231,231,231,231,231,234,234,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,237,237,239,239,239,239,241,243,243,243,245,245,245,245,245,245,245,245,245,245,245,247,247,247,247,247,247
,Central,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,4,5,6,8,12,14,18,19,23,29,35,43,55,69,89,106,120,129,144,149,159,170,183,198,204,211,212,214,222,223,223,224,224,226,228,229,231,231,232,232,232,232,232,234,234,234,234,236,238,238,238,238,238,238,238,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242
,Western,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,9,15,15,17,23,25,28,35,40,47,53,64,76,91,121,143,161,190,225,258,284,315,331,357,380,396,417,429,443,451,457,466,481,486,490,490,490,494,495,498,498,500,500,500,500,500,502,502,502,502,502,508,508,511,511,513,513,516,516,516,516,516,516,516,516,516,518,521,521,521,521,521,521,521,523,523,523,523,523,523,523,523,523,525,529,533,533,535,538,538,538,540,540,542,542,544,544,549,551,551,551,553,553,553,553,553,553,556,559,561,563,563,566,568,571,571,571,575
