Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20
,US,37.0902,-95.7129,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,15,15,15,15,15,15,16,16,24,30,53,73,104,174,222,337,451,519,711,1109,1560,2149,2859,2955,4338,6114,8874,14098,19410,25733,33660,43720,53959,65872,83893,102040,121814,140929,162385,188365,213792,244154,276058,309189,337023,366611,397318,428956,463649,497098,527063,555578,580823,607804,636889,668115,700794,729077,755111,782392,807832,835976,870068,906244,939114,966755,989169,1013614,1040946,1070568,1104661,1133807,1159365,1181728,1205808,1230968,1258742,1285782,1311445,1331180,1349883,1371672,1392681,1420141,1445295,1470350,1489310,1510899,1531222,1554636,1580008,1603993,1625769,1646523,1665469,1684187,1702439,1725157,1749535,1773737,1793808,1811080,1831858,1851626,1872805,1902810,1925853,1943988,1961621,1979699,2000702,2023590,2048986
,Chicago,,,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,6,7,7,12,24,31,44,56,56,71,146,243,363,365,661,957,1101,1404,1697,1718,2773,3230,4247,4642,5558,6444,7083,7846,9544,10355,11260,12393,13746,14946,16248,17496,19055,20168,21262,22518,23624,25264,26600,27627,28715,30072,31825,33472,35886,37713,39536,41326,43336,45294,47534,50396,52613,55226,57374,59301,61365,63623,66171,68104,69629,70802,74138,75587,78427,80599,82369,83831,85856,87298,89408,91340,93737,95795,97998,99524,100564,101549,102974,104407,105637,106792,107604,109068,109992,110781,111729,112579,113298,113886,114585,115151,115755,116227
,Los Angeles,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,11,13,14,14,14,20,27,32,40,53,53,94,144,190,231,292,292,407,536,662,812,1229,1465,1465,1829,2474,3019,3518,4045,4566,4605,5955,6377,6936,7559,7955,8443,8453,8894,9433,10047,10517,10854,11400,12021,12341,13823,15153,16447,17537,18545,19133,19567,20423,20996,22485,23220,24262,24894,25699,26225,27836,28665,29511,30319,31241,31703,32263,33211,34538,35392,36316,37360,38011,38458,39573,40895,42037,43070,44121,45017,46023,47845,48761,49860,51678,53746,55001,56011,57219,58261,59692,61068,62382,63844,64690,65945,67111,68959,70529
,New York City,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,11,11,12,19,25,55,95,154,269,269,463,814,1871,3954,5151,7530,9654,12305,14904,17856,21873,25573,29776,33768,37453,43119,47439,51809,57159,63306,67551,72181,76876,81803,87028,92384,98308,103208,106763,110465,118302,123146,127352,131334,134267,136591,139348,142227,145855,150473,155113,158258,160489,162338,164841,167478,169690,172354,174331,175651,176874,178351,180216,181783,183289,184417,185357,186123,187250,188545,190357,191600,192593,193230,193821,194550,195675,196484,197266,198123,198731,199301,199968,201051,201999,202751,203303,203764,204377,204872,205406,205940,206511,206969,207353,207693,208118,208517,208954
,North America,,,1,1,2,2,6,6,7,7,7,11,12,12,15,15,16,16,18,18,18,18,19,19,20,20,20,20,21,21,21,21,24,24,24,25,26,26,29,31,48,60,86,109,146,220,283,405,537,622,817,1260,1740,2446,3203,3379,4991,6895,9903,15406,21031,27890,36349,47219,58306,71016,90240,109462,130678,150993,173910,201638,228575,261178,294776,328985,360327,391411,424134,457867,495019,530942,563012,593540,621000,650000,681311,716032,752052,783054,811664,842139,870414,902432,940023,979674,1015524,1046248,1071628,1099074,1129934,1163222,1201388,1234514,1264570,1290463,1317692,1346784,1378864,1410012,1439770,1463270,1485227,1510746,1535628,1567406,1597177,1626512,1649311,1675391,1700881,1728297,1758885,1788228,1815771,1841946,1865692,1890490,1914535,1942799,1972864,2002511,2028226,2050393,2077052,2102958,2130768,2167256,2196433,2220435,2243527,2268390,2296901,2327334,2360676
,Alabama,,,241493,5723.27,33.719,86.3103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,11,29,38,50,78,106,131,155,194,241,378,515,584,689,821,897,985,1055,1229,1490,1608,1762,1946,2165,2329,2697,2940,3215,3558,3729,3950,4071,4341,4566,4708,4886,5075,5312,5588,5829,6025,6025,6420,6534,6744,6910,7086,7291,7610,7885,8109,8437,8690,9044,9383,9665,9886,10161,10460,10697,11099,11372,11672,11769,12085,12375,13048,13282,13667,14114,14474,14982,15646,16028,16520,17021,17357,17947,18620,18758,18848,19068,19381,20040,20497,20922,21421,21981,22833
,Alaska,,,232346,4229.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,8,11,13,18,30,34,41,56,58,85,102,114,119,132,143,157,171,185,190,213,226,235,246,257,272,277,285,293,300,309,314,319,321,329,335,337,339,339,340,345,351,355,355,364,365,368,370,371,372,374,377,378,379,379,383,383,383,388,388,388,388,400,401,401,403,407,407,408,410,411,424,429,433,459,466,486,504,512,523,535,543,562,572,592,609
,Arizona,,,230216,1671.95,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6,9,9,9,12,12,18,20,27,45,68,104,152,235,326,401,508,665,773,919,1157,1289,1413,1596,1769,2019,2269,2460,2575,2726,3018,3112,3393,3542,3705,3809,3964,4237,4511,4724,4933,5068,5256,5473,5772,6045,6286,6534,6725,6955,7209,7655,7969,8364,8640,8924,9305,9707,9945,10526,10960,11119,11383,11736,12216,12674,13169,13666,13945,14208,14576,14906,15348,15624,16053,16377,16575,16864,17318,17877,18472,19258,19936,20129,21264,22356,22886,24439,25451,26989,27678,28296,29852,31267
,Arkansas,,,550638,6841.8,35.022,90.7483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,3,3,3,4,62,100,122,165,192,219,280,335,381,409,426,473,522,583,643,704,743,828,865,929,982,1115,1169,1228,1279,1407,1485,1558,1602,1677,1743,1780,1972,1989,2275,2595,2802,2905,2995,3063,3125,3191,3280,3336,3368,3428,3483,3523,3608,3694,3737,3743,3842,3872,4137,4205,4355,4440,4559,4751,4799,4902,4987,5220,5356,5747,5909,6018,6163,6261,6529,6768,7001,7245,7439,7808,8056,8416,8644,9048,9367,9729,10072,10359,10809
,California,,,521378,7002.26,0,0,0,2,2,2,2,2,3,3,3,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,10,11,11,12,12,21,25,35,51,59,81,95,101,144,178,221,281,372,373,557,700,828,1005,1243,1405,1646,2108,2538,2998,3899,4657,5095,5852,7138,8210,9399,10773,12004,12837,15034,16019,17351,18897,19710,21081,21706,22795,23931,25356,26686,27677,29157,30491,31431,33686,35465,37344,39561,41355,42368,43558,44966,46164,48747,50130,52026,53347,54903,55884,58456,60616,62148,63779,66558,67600,69329,70978,72798,74871,76693,78725,80166,81457,83752,85997,88031,90252,92539,94020,96400,99387,101050,103813,106622,109895,111951,114733,117215,119348,122168,125738,128593,130615,133816,136641,139715,143377
,Colorado,,,686001,6751.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,12,17,34,49,78,103,136,161,183,216,278,364,475,595,723,912,1087,1430,1738,2061,2308,2627,2966,3342,3728,4173,4565,4950,5183,5429,5655,6202,6513,6893,7307,7696,7950,8280,8675,9047,9440,9730,10112,10473,10891,11278,12256,12968,13441,13879,14316,14758,15284,15793,16225,16635,16918,17367,17832,18370,18827,19375,19703,19879,20157,20475,20838,21232,21633,21938,22202,22482,22797,23191,23487,23964,24174,24256,24552,24754,25107,25598,26084,26364,26563,26774,27046,27346,27601,27834,27987,28169,28333,28484,28632
,Connecticut,,,242082,581.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,11,23,24,41,68,96,159,194,194,327,415,618,875,1012,1291,1524,1993,2571,3128,3557,3824,4914,5276,5675,6906,7781,7781,9784,10538,11510,12035,13381,13989,14755,15884,16809,17550,17962,19815,20360,22469,23100,23936,24583,25269,25997,26312,26767,27700,28764,29287,29287,29973,30621,30995,31784,32411,32984,33554,33765,34333,34855,35464,36085,36703,37419,38116,38430,39017,39208,39640,40022,40468,40873,41303,41288,41559,41762,42022,42201,42740,42979,43091,43239,43460,43818,43968,44092,44179,44347,44461
,Delaware,,,200029,226.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,6,8,16,19,30,39,45,56,68,104,119,130,163,214,232,264,319,368,393,450,593,673,783,928,1116,1209,1326,1479,1625,1758,1926,2014,2070,2317,2538,2538,2745,2931,3200,3308,3442,3576,4034,4162,4575,4655,4734,4918,5038,5208,5288,5371,5778,5939,6111,6277,6277,6565,6741,6952,7223,7373,7547,7670,7869,8037,8194,8386,8529,8529,8809,8965,9066,9096,9171,9236,9422,9498,9605,9685,9712,9746,9773,9845,9942,9972,10020,10056,10106
,District of Columbia,,,181023,77.0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,31,40,71,98,102,120,141,187,231,271,304,342,401,495,586,653,757,902,1002,1097,1211,1440,1523,1660,1778,1875,1955,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4797,5016,5170,5322,5461,5654,5899,6102,6272,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551,7788,7893,7966,8110,8225,8334,8406,8492,8538,8717,8801,8857,8886,9016,9120,9199,9269,9332,9389,9474,9537,9589
,Florida,,,978576,5379.04,57.2786,161.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,7,10,13,15,24,29,49,77,100,100,189,303,430,561,757,992,1214,1403,1671,2342,2884,3737,4223,5453,6697,6922,8975,10212,11479,12306,13286,14499,15418,16339,17508,18473,19877,20997,21611,22497,23317,24732,25476,26300,27047,27861,28303,29628,30509,30831,31526,32126,32834,33187,33681,34715,35452,36069,36892,37434,37992,38808,39182,39992,40590,40978,41914,42380,43191,44122,44796,45578,46423,46928,47468,48661,49421,50087,50836,51726,52231,52613,53268,54461,55376,56133,56816,57424,58720,60135,61434,62681,63863,64847,65950,67323,68978
,Georgia,,,2.26271e+06,13288.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5,10,17,23,31,42,73,99,121,146,197,287,485,555,621,772,1026,1247,1525,2000,2366,2651,2808,3929,4638,5348,5831,6160,6647,7314,8822,9901,10566,11485,12159,12452,13315,14578,14987,15669,17194,17669,18301,19407,19881,21214,21883,22491,23222,23486,24302,24922,25775,26264,27489,28331,28665,29451,29998,30743,31618,32181,32588,33580,34002,34924,35427,35977,36772,37212,37579,38283,38855,39801,40663,41482,42242,42902,43400,43983,44638,45266,45881,46331,47063,47902,48207,48894,49859,50621,51359,51898,52497,53249,53980,54973
,Guam,,,66.013,144.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,12,14,15,27,29,32,37,45,51,55,56,58,69,77,82,84,93,112,113,121,121,128,130,133,133,133,133,135,135,136,136,136,136,136,136,139,141,141,141,141,141,141,145,145,145,145,145,145,149,149,151,151,151,151,152,152,152,154,154,154,154,154,154,165,165,165,166,166,167,170,171,172,172,172,175,175,177,179,179,179,179,179,180,180,183
,Hawaii,,,245055,786.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,2,4,6,8,10,15,25,36,36,53,56,90,91,95,106,149,149,175,204,224,256,319,351,371,387,410,410,442,442,465,499,504,511,524,530,541,574,580,584,586,592,596,601,605,606,607,609,613,618,619,620,620,621,625,626,629,629,631,632,634,635,638,637,638,639,640,640,641,643,647,642,643,643,643,643,644,647,649,651,652,652,653,653,655,664,673,675,676,682,685,692
,Idaho,,,875970,5036.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,8,9,23,36,42,42,68,81,91,146,205,234,281,340,515,566,776,891,1022,1078,1101,1170,1210,1232,1354,1396,1407,1426,1464,1473,1587,1609,1655,1668,1672,1736,1766,1836,1870,1887,1897,1897,1952,1952,1984,2015,2061,2061,2106,2127,2158,2178,2178,2205,2230,2260,2293,2293,2351,2351,2419,2419,2455,2455,2506,2506,2595,2595,2626,2626,2626,2699,2770,2770,2803,2839,2839,2933,2933,2990,3111,3139,3139,3189,3221,3260,3260
,Illinois,,,1.91444e+06,9006.26,38.47,90.9306,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,6,7,7,12,25,32,46,62,64,81,161,273,421,585,753,1049,1284,1533,1862,2538,3016,3480,4580,5038,5982,6963,7683,8900,10332,11230,12250,13530,15043,16387,17855,19151,20822,21996,23217,24570,25715,27549,29134,30340,31502,33041,35067,36896,39624,41744,43862,45843,48059,50319,52877,56005,58473,61454,63733,65847,68182,70827,73713,76019,77678,78977,83005,84676,87905,90341,92433,94151,96453,98003,100375,102632,105395,107745,110245,111965,113144,114262,115800,117399,118846,120214,121203,122813,123772,124704,125863,126821,127705,128392,129186,129802,130575
,Indiana,,,1.8345e+06,7845.82,41.6176,86.2904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,10,12,13,16,20,25,30,38,58,81,125,202,259,358,475,642,971,1223,1508,1781,2141,2543,3022,3422,3929,4381,4933,5483,5913,6330,6884,7399,7901,8351,8485,8881,9470,10069,10559,11167,11664,12057,12396,13006,13620,14321,14951,15928,16562,17148,17804,18608,19283,19917,20484,21004,21824,22460,23087,23677,24089,24583,25090,25445,26003,26592,27230,27728,28218,28662,29204,29868,30366,30851,31318,31677,32028,32389,33052,33528,34166,34548,34810,35202,35678,36068,36540,36957,37349,37582,38002,38302,38704
,Iowa,,,2.06084e+06,9253.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,14,17,17,18,23,23,38,44,45,69,90,105,124,146,179,235,298,336,424,497,547,614,699,787,869,946,1046,1145,1270,1388,1510,1587,1710,1899,1995,2141,2332,2513,2902,3159,3641,3748,3924,4445,5092,5476,5868,6376,6843,7145,7884,8643,9175,9703,10111,10404,11059,11457,11671,11959,12373,12912,13289,13675,14049,14328,14651,14955,15296,15620,16170,16492,16898,17251,17557,17703,18369,18586,18957,19244,19552,19699,20019,20300,20806,21154,21478,21712,22007,22237,22626,22973
,Kansas,,,2.28107e+06,10298.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,8,8,11,18,22,35,48,57,65,84,100,134,172,206,266,330,372,434,485,553,629,698,751,849,912,1046,1116,1117,1275,1344,1390,1441,1504,1615,1730,1821,1905,2048,2164,2331,2721,2959,3135,3277,3473,3652,3839,4413,4634,4885,5156,5383,5648,5993,6332,6667,6829,6951,7159,7240,7518,7705,7886,7939,7953,8303,8353,8507,8625,8909,8946,9004,9125,9199,9291,9371,9662,9690,9700,9920,9965,10092,10167,10306,10361,10406,10544,10609,10750,10823
,Kentucky,,,2.70445e+06,10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,8,10,14,16,18,21,26,28,50,64,87,103,123,162,197,247,301,380,438,479,628,632,770,770,917,955,955,1149,1149,1341,1693,1693,1963,2018,2048,2210,2435,2522,2707,2960,3050,3204,3378,3479,3779,3915,4085,4156,4375,4537,4708,4882,4879,5130,5245,5822,5934,6129,6288,6440,6440,6677,6853,6853,7225,7444,7688,7688,7935,8069,8167,8286,8426,8571,8571,8571,8951,9077,9185,9464,9704,9704,10046,10185,10410,10705,10977,11287,11287,11476,11707,11883,11945
