,Africa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,6,9,19,21,28,28,34,36,45,59,68,102,151,211,260,298,420,542,718,930,1185,1547,1978,2464,3002,3544,3895,4423,4846,5412,5976,6591,7377,7990,8620,9177,9715,10409,11100,11696,12276,13017,13689,14502,15301,16320,17576,18708,19823,20806,21746,22994,24214,25748,26783,28123,29210,30636,32427,34250,35644,37549,38923,41270,42973,45133,47347,50659,53028,55358,58051,60917,63547,66179,68705,71646,74154,77318,79957,82975,86998,90365,93494,96819,100204,102962,107318,110942,115598,120458,124111,128646,132426,136496,142527,148335,153499,158156,163648,168768,173887,179857,186306,192724,199980,207925,214084,221441,228240,236601,
,Asia,,,554,653,937,1429,2105,2912,5558,6139,8204,9885,11987,16733,19822,23831,27573,30731,34261,36983,40008,42543,44580,44958,60104,66577,68654,70777,72711,74501,74923,75465,76052,77749,77970,78435,79110,79832,80797,81715,82986,84178,85008,86013,86648,87315,88087,88685,89113,89381,89584,90025,90188,90562,90991,91600,92091,92691,93358,94103,95007,95942,97117,98068,99067,100248,101549,102851,104508,106112,107566,109392,111692,114111,115795,118098,120446,123857,126028,128493,131467,134670,137848,141424,145692,149596,153360,157601,162911,168045,172696,177822,183206,188571,194982,200821,206059,211412,217188,222777,228732,235173,242239,248700,255989,264678,273646,281694,290601,299898,308559,319059,328836,337996,347009,358631,367458,378103,390164,402329,415314,429071,444337,459271,474720,489735,504179,516959,532914,550162,569245,588103,608394,627503,648863,672216,694561,716997,741058,765406,786538,810899,837005,864192,885727,913566,946982,972127,999312,1028100,1057271,1088704,
,Europe,,,0,0,2,3,3,4,8,10,10,16,21,23,25,26,26,26,29,34,36,41,43,44,44,44,45,45,45,45,45,45,62,104,197,275,379,539,803,1092,1464,2201,2727,3356,4335,5735,7507,9648,12190,14975,18380,23445,26830,38279,46465,54844,65599,76710,90343,108678,129143,150561,169646,195080,218692,248355,283314,318897,355350,384748,415612,450736,487205,522698,559733,593168,622925,649903,678757,713086,746174,784516,814782,867099,892150,917570,948308,990628,1022616,1048595,1081004,1103301,1128789,1154322,1179793,1204030,1225808,1245850,1266087,1286565,1304601,1325612,1347451,1369221,1389580,1408568,1429581,1456329,1481177,1504841,1524994,1543907,1565385,1584583,1602222,1620629,1639451,1655799,1671531,1685406,1701347,1714892,1728095,1745184,1760282,1773488,1785182,1801099,1814453,1829793,1844087,1858459,1871141,1882847,1896087,1911335,1924239,1937507,1950714,1962880,1974504,1986412,1997282,2010140,2023457,2036525,2048608,2059395,2071133,2083333,2096767,2108025,
,Middle East,,,0,0,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,7,7,8,8,8,8,9,9,10,10,10,12,15,30,44,59,82,148,225,351,506,732,1141,1688,2548,3147,3763,5045,6194,7021,7644,8633,9951,11097,12584,14121,15515,16713,18145,19571,21159,22833,24463,26560,28744,31503,35805,40089,45836,51575,57382,63090,70089,76557,83497,90480,97431,104792,111867,119329,126618,134108,142490,151343,159686,167564,175257,183225,191732,200093,207493,215560,224424,233168,240783,248268,256118,263679,270643,277238,284085,291589,298888,305861,312200,318574,325233,332753,341096,348958,357616,365616,374454,382537,391877,401326,411459,421530,432211,442596,452857,463599,474496,485540,496860,507738,518436,527875,537308,547402,558437,570721,582391,594305,606112,618064,630660,643301,656582,670113,683434,696404,709077,722749,736789,751534,766243,781380,797030,811957,827475,842551,857856,
,North America,,,-3,-4,-4,-5,-2,-3,-3,-4,-5,-2,-2,-3,-1,-2,-2,-3,-2,-3,-4,-5,-5,-6,-6,-7,-8,-9,-9,-10,-11,-12,-10,-11,-12,-12,-12,-13,-11,-10,6,16,41,63,99,172,233,354,482,568,762,1204,1684,2396,3149,3326,4944,6842,9862,15366,20966,27800,36179,47034,58077,70793,89871,109026,130129,150327,173240,200789,227615,260158,293684,327924,359048,390287,422762,456394,493369,529071,561050,591414,618718,647651,678676,713326,749018,779847,808134,838383,866633,898451,935908,975466,1011187,1041747,1067029,1094430,1125128,1158213,1196130,1229013,1258720,1284441,1311527,1340385,1372285,1403265,1432591,1455664,1477506,1503016,1527688,1559497,1588993,1618000,1640636,1666420,1691584,1718941,1749510,1778669,1805826,1831653,1855147,1879880,1903576,1931608,1961316,1990626,2016018,2037976,2064565,2090292,2117935,2149336,2177663,2200892,2223293,2247872,2275817,2305617,2338384,2369945,2396279,2421213,2451942,2485007,2521100,2558912,
,Oceania,,,105151,68,0,0,5,7,8,10,14,16,19,21,22,23,24,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50,61,64,68,78,94,98,106,111,125,141,157,179,180,256,308,358,439,519,644,772,900,1200,1733,1872,2298,2674,3204,3624,4205,4613,5072,5330,5696,6044,6332,6641,6870,7053,7213,7384,7513,7667,7786,7820,7880,7962,8009,8054,8124,8185,8238,8264,8293,8310,8327,8349,8377,8400,8410,8438,8451,8470,8490,8514,8541,8566,8599,8621,8643,8652,8677,8691,8716,8729,8744,8776,8795,8807,8820,8837,8848,8860,8878,8885,8903,8911,8925,8943,8956,8974,8997,9009,9023,9046,9058,9072,9083,9091,9104,9112,9118,9130,9145,9156,9162,9192,9211,9229,9256,9282,9304,9312,289
,South America,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,8,11,16,22,34,45,67,74,96,129,148,304,370,437,676,963,1209,1685,2307,3064,4205,5021,5886,6722,7851,9042,10341,11378,12388,14590,16972,19284,21314,23654,25568,27599,30470,35558,39677,45053,47890,50792,54863,57920,63116,67461,72764,77873,82391,86597,91375,96731,104158,121558,131610,138491,145434,155829,166441,178932,190559,200807,212879,224972,237926,254395,269777,286840,301438,313102,323894,338598,358688,379982,404791,425404,440683,461611,488245,518987,548297,578818,605542,632021,655082,683321,717666,756549,796185,844223,876413,902507,939065,985234,1028360,1072926,1112617,1145710,1173481,1216157,1263821,1309890,1347888,1386893,1424339,1460233,1507387,1584519,1621089,1689350,
,World,,,555,654,941,1434,2118,2927,5578,6166,8234,9928,12038,16788,19882,23892,27635,30794,34391,37120,40150,42762,44802,45221,60368,66885,69030,71224,73258,75136,75639,76197,76819,78572,78958,79524,80371,81345,82703,84069,85966,88324,90261,92794,95074,97843,101761,105782,109751,113535,118372,125699,130904,145199,156274,167008,181431,196895,216140,243063,272675,304821,337558,378342,418511,468151,530060,594084,661447,720588,783423,858152,933671,1014445,1096914,1177151,1250777,1322425,1397115,1481047,1566940,1659154,1737259,1836032,1906047,1976583,2056809,2152739,2241632,2318119,2398456,2471238,2545813,2623833,2710357,2807806,2890192,2962388,3029305,3102356,3178089,3261465,3349622,3430676,3509265,3585033,3665461,3757491,3850051,3944513,4029445,4106557,4182991,4265396,4350483,4447588,4543709,4635520,4715544,4803247,4898754,4999401,5104008,5211676,5311312,5407217,5493985,5588889,5692026,5807432,5928418,6056500,6163790,6259621,6373881,6502030,6627776,6759592,6885018,6997032,7099959,7222607,7355179,7492478,7620720,7754785,7887666,8008939,8147828,8323079,8461446,8635257,
