Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20
,Puebla,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,9,12,14,19,25,32,37,41,43,51,66,72,87,96,109,113,128,149,165,184,198,209,217,241,254,277,289,297,312,317,344,360,388,409,439,464,482,513,535,562,594,633,676,700,736,780,824,870,911,954,992,1040,1077,1126,1190,1237,1285,1322,1395,1467,1557,1663,1768,1844,1911,2042,2171,2292,2437,2611,2757,2838,3006,3172,3373,3541,3694,3814,3877,4073,4253,4448,4654,4863,4987,5079,5387,5633,5889,6197,6507,6682,6827,7274,7688,8120,8621,9056,9272,9433,9934,10350,10716,11170,11510,11686,11817,12160,12508,12792,13041,13297
,Queretaro,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,7,7,7,9,11,14,14,15,15,18,22,24,25,29,31,32,33,37,40,41,45,46,46,50,55,58,61,63,66,67,75,83,85,91,96,98,100,105,107,114,123,133,134,136,139,148,160,166,174,186,190,200,210,219,233,259,285,304,351,385,414,455,504,532,549,596,657,699,736,771,793,805,856,894,929,958,991,1018,1039,1079,1128,1171,1211,1248,1276,1304,1354,1392,1429,1460,1496,1530,1552,1605,1647,1686,1717,1745,1769,1785,1834,1868,1904,1941,1986,2002,2022,2074,2119,2165,2213,2242
,Quintana Roo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,7,7,10,14,16,21,22,25,29,32,40,50,59,66,73,76,98,113,137,148,161,169,179,211,234,260,268,290,307,329,351,368,388,419,453,498,521,566,608,642,689,712,743,774,817,859,897,931,963,1032,1061,1093,1118,1159,1198,1224,1243,1265,1309,1346,1373,1412,1433,1451,1464,1507,1541,1585,1626,1670,1708,1733,1782,1814,1856,1899,1946,1971,1993,2038,2100,2143,2181,2220,2242,2271,2323,2372,2428,2484,2533,2561,2613,2701,2762,2826,2894,2976,3015,3068,3176,3268,3350,3447,3580,3639,3700,3872,4015,4138,4284,4408
,San Luis Potosi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,8,9,12,15,19,20,22,22,22,23,29,29,35,38,40,40,40,40,43,45,48,53,55,59,60,63,63,64,65,67,69,76,77,77,78,81,84,89,93,101,104,119,136,145,155,169,183,194,222,239,273,286,312,324,343,375,398,422,456,485,510,525,559,585,624,661,717,737,757,806,845,904,942,993,1017,1036,1087,1142,1219,1297,1376,1435,1484,1598,1690,1774,1848,1909,1938,1961,2050,2151,2265,2357,2446,2490,2530,2650,2769,2884,3004,3099,3189,3224,3352,3488,3620,3735,3875
,Sinaloa,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,6,7,7,8,10,16,24,33,42,47,53,64,79,93,121,131,143,158,185,205,234,246,279,302,324,370,416,463,503,541,572,603,664,710,758,825,895,939,975,1052,1098,1152,1207,1265,1313,1343,1419,1469,1552,1616,1675,1727,1767,1836,1921,1998,2096,2192,2260,2324,2463,2564,2685,2802,2944,3003,3083,3253,3434,3626,3785,3965,4096,4165,4372,4543,4755,4946,5160,5312,5414,5625,5864,6086,6316,6609,6698,6783,6967,7172,7361,7523,7692,7828,7911,8111,8301,8483,8604,8776,8863,8931,9087,9225,9384,9515,9642
,Sonora,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4,7,11,14,15,20,24,24,26,31,32,35,36,43,45,56,70,86,92,99,104,107,125,134,147,160,174,188,195,204,218,238,246,266,275,290,325,340,357,390,413,445,471,535,591,635,675,733,779,808,884,949,1057,1142,1249,1315,1376,1533,1659,1771,1906,2050,2171,2260,2476,2702,2912,3127,3297,3444,3569,3816,4058,4293,4522,4772,4932,5040,5299,5554,5802,6063,6311,6463,6582,6873,7161,7465,7726,8018,8191,8332,8646,8933,9204,9461,9709,9828,9915,10155,10402,10594,10818,10954
,Tabasco,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,8,8,8,11,23,26,31,42,43,52,62,73,82,97,117,120,129,136,149,167,178,193,212,239,269,316,355,399,456,504,544,617,701,766,829,894,937,978,1037,1095,1145,1229,1283,1331,1377,1462,1534,1630,1734,1815,1868,1933,2049,2136,2252,2379,2524,2610,2690,2813,2920,3082,3224,3362,3459,3542,3718,3914,4138,4359,4530,4633,4706,4911,5072,5252,5441,5618,5750,5859,6144,6437,6755,7029,7395,7577,7682,7991,8304,8615,8934,9232,9425,9531,9806,10082,10370,10689,10940,11130,11273,11659,12044,12429,12822,13150
,Tamaulipas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,4,6,7,8,8,8,9,12,15,19,24,32,33,42,45,49,59,66,69,74,83,88,97,111,130,146,174,205,219,230,255,274,302,335,361,400,434,461,503,538,556,587,618,643,686,721,767,811,841,868,890,933,981,1021,1056,1118,1166,1183,1246,1297,1366,1436,1524,1592,1626,1738,1853,1959,2022,2117,2185,2233,2363,2460,2539,2633,2734,2813,2878,3013,3137,3307,3432,3660,3790,3904,4143,4431,4619,4824,5038,5220,5336,5633,5911,6193,6546,6915,7088,7215,7543,7783,8048,8270,8444
,Tlaxcala,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,5,5,6,6,10,11,11,13,19,27,34,40,41,47,53,55,60,67,71,78,84,88,98,107,118,125,137,152,173,186,201,226,234,250,259,276,283,308,324,348,365,385,405,421,457,496,535,556,593,623,648,692,742,783,833,876,906,922,983,1021,1060,1104,1150,1189,1215,1279,1325,1384,1439,1487,1522,1548,1615,1668,1730,1783,1838,1864,1894,1957,2012,2086,2141,2190,2223,2251,2316,2394,2467,2530,2617,2642,2690,2776,2865,2935,3029,3097
,Veracruz,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,9,14,15,16,16,20,22,24,29,30,31,32,36,38,48,54,62,64,66,72,83,88,100,109,123,132,146,159,189,228,263,281,299,336,382,412,463,511,555,585,653,727,801,864,930,995,1053,1147,1251,1360,1480,1584,1663,1733,1872,1995,2127,2295,2487,2619,2706,2869,3019,3199,3373,3547,3662,3767,3978,4174,4357,4536,4721,4856,4968,5195,5377,5573,5806,6010,6119,6222,6434,6654,6887,7089,7275,7414,7550,7883,8191,8436,8691,8967,9132,9270,9633,9931,10226,10540,10860,11018,11176,11519,11881,12240,12586,12918
,Yucatan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,7,13,13,15,21,21,29,34,42,45,45,47,51,53,63,67,76,78,87,89,94,106,119,128,139,143,149,156,174,192,219,231,246,252,259,285,305,327,361,394,418,438,475,517,548,608,634,662,692,741,785,819,856,892,911,938,983,1035,1094,1152,1194,1226,1275,1329,1380,1437,1507,1568,1602,1632,1685,1742,1803,1863,1909,1938,1963,2021,2069,2119,2163,2197,2241,2276,2365,2433,2508,2592,2659,2700,2759,2863,2959,3075,3175,3286,3380,3468,3612,3764,3936,4124,4263,4361,4431,4622,4782,4942,5092,5281
,Zacatecas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,4,5,5,5,9,10,10,10,10,10,11,11,12,13,14,14,16,18,18,20,21,21,22,28,31,33,40,41,50,52,54,62,67,71,74,78,88,97,101,108,115,117,122,127,138,147,156,160,162,172,175,183,196,204,207,210,216,216,231,236,245,256,262,273,285,289,296,311,318,323,339,352,368,385,402,416,428,448,475,509,528,553,572,582,619,653,673,696,712,723,732,754,783,807,839,869,883,907,950,1003,1049,1095,1143
,Mexico City,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,5,5,6,7,7,10,22,39,63,84,94,120,154,185,224,248,260,271,296,331,356,406,445,494,529,606,657,712,783,862,919,974,1091,1218,1343,1470,1617,1727,1841,2109,2356,2582,2832,3159,3356,3541,3987,4419,4818,5162,5670,5917,6139,6634,7169,7733,8263,8589,8909,9201,9918,10506,11187,11890,12677,13068,13422,14212,15008,15883,16667,17578,18162,18520,19568,20548,21556,22490,23372,23827,24147,25145,26021,26968,27783,28677,29192,29579,30599,31482,32425,33317,34228,34707,35068,36038,37004,37910,38745,39631,39994,40304,41178,42120,42995,43834,44614,44975,45213,45981,46806,47555,48335,49147,49480,49753,50631,51475,52353,53141,53982
,Latin America,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,14,14,17,22,28,43,54,84,95,117,157,192,364,455,536,821,1142,1425,1991,2741,3634,4967,5923,6932,7977,9386,10881,12582,13997,15281,17917,20771,23447,25832,28613,31123,33663,37154,42954,47782,54027,57541,61296,66024,69684,75799,80896,87290,93399,99227,104385,110104,116937,125907,144947,156287,164303,172372,184235,196266,210747,224394,236817,250851,264943,279532,298277,316370,335983,353235,367338,380092,397337,419917,444230,472435,495938,513825,538107,568761,602362,635614,670227,701263,731935,758587,791718,830740,873859,917997,970285,1006928,1036819,1078385,1129579,1178753,1228804,1273853,1311756,1344009,1392756,1446929,1499418,1544473,1588923,1631964,1672845,1726629,1810698,1855080,1933897,1990807,2032371,2075497,2138024,2200204,2266144,2337152,2400374,2456824,2497882,2554634,2624999,2699146,2769091
,First(NorthWest),,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,8,14,21,24,38,50,75,94,111,119,126,156,189,217,248,291,316,351,418,505,600,685,766,830,888,1035,1149,1299,1413,1531,1619,1711,1901,2095,2295,2480,2670,2792,2913,3150,3382,3610,3884,4150,4299,4469,4792,5036,5313,5605,5850,6112,6329,6722,7095,7456,7820,8180,8428,8645,9068,9471,9919,10369,10871,11154,11433,12113,12669,13247,13906,14595,14957,15302,16047,16832,17633,18363,19147,19729,20134,21126,22067,22997,23867,24894,25488,25916,27014,28092,29122,30157,31147,31671,32130,33177,34265,35302,36296,37272,37898,38356,39503,40606,41640,42519,43528,44134,44553,45557,46553,47511,48362,49099
,Second(NorthEast),,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,7,14,15,25,33,36,48,64,82,98,125,147,157,179,197,220,235,273,294,319,357,385,416,445,489,514,531,595,634,680,704,753,788,823,892,961,1034,1111,1218,1277,1315,1407,1492,1586,1686,1773,1845,1913,2049,2217,2350,2479,2599,2703,2773,3005,3201,3407,3596,3791,3923,4048,4302,4571,4811,5079,5402,5591,5694,6043,6359,6711,7048,7412,7672,7816,8320,8831,9314,9756,10288,10599,10834,11499,12109,12708,13405,14105,14550,14893,15820,16678,17589,18427,19427,20005,20428,21705,22943,24062,25229,26419,27163,27649,29123,30660,32058,33437,34900,35774,36363,37977,39463,40981,42226,43459
,Third(SouthEast),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,4,7,9,14,20,25,36,49,64,75,80,93,114,145,168,191,221,236,254,304,344,401,439,498,516,548,617,679,748,796,852,916,985,1081,1189,1321,1459,1621,1754,1854,2055,2267,2445,2670,2871,3035,3190,3431,3680,3912,4186,4403,4639,4842,5176,5491,5846,6215,6532,6754,6994,7448,7879,8365,8902,9477,9864,10161,10778,11279,11895,12545,13167,13606,13949,14719,15449,16203,17005,17722,18218,18573,19446,20220,20967,21806,22593,23129,23552,24545,25521,26546,27486,28439,29080,29585,30809,31910,33047,34140,35253,35988,36494,37784,38960,40144,41418,42612,43348,43935,45353,46706,48060,49404,50618
,Fourth(SouthWest),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,5,5,6,7,7,10,23,41,71,96,109,139,184,223,269,299,317,330,367,421,455,524,576,646,687,783,860,941,1041,1136,1211,1286,1451,1615,1781,1934,2103,2241,2378,2704,2991,3264,3561,3948,4191,4428,4961,5452,5930,6366,6986,7324,7632,8252,8913,9603,10249,10670,11119,11533,12427,13145,13999,14868,15804,16325,16794,17801,18821,19930,20949,22113,22878,23394,24791,26113,27471,28789,30073,30794,31301,32730,33999,35339,36537,37776,38538,39123,40616,41882,43247,44574,45921,46672,47235,48819,50243,51666,53072,54520,55197,55809,57394,59010,60546,62080,63530,64210,64723,66268,67742,69078,70532,71927,72596,73215,74753,76207,77642,79004,80377
,Fifth(Central),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,5,5,5,5,7,8,10,12,15,27,32,43,50,59,66,79,94,107,112,131,159,191,225,273,301,324,385,431,492,543,601,639,683,776,858,952,1022,1123,1207,1302,1475,1659,1855,2058,2239,2413,2590,2898,3198,3473,3778,4125,4370,4615,5027,5419,5792,6152,6475,6740,7042,7610,8010,8430,8931,9433,9761,10054,10749,11400,12126,12793,13575,14025,14385,15206,15912,16699,17507,18352,18727,19145,20131,20960,21859,22733,23613,24095,24512,25601,26589,27706,28680,29660,30184,30660,31963,33091,34164,35122,36118,36607,37074,38186,39267,40277,41185,42142,42646,42973,43978,44883,45781,46570,47403,47792,48123,49121,49958,50881,51612,52373
,South America,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,8,11,16,22,34,45,67,74,96,129,148,304,370,437,676,963,1209,1685,2307,3064,4205,5021,5886,6722,7851,9042,10341,11378,12388,14590,16972,19284,21314,23654,25568,27599,30470,35558,39677,45053,47890,50792,54863,57920,63116,67461,72764,77873,82391,86597,91375,96731,104158,121558,131610,138491,145434,155829,166441,178932,190559,200807,212879,224972,237926,254395,269777,286840,301438,313102,323894,338598,358688,379982,404791,425404,440683,461611,488245,518987,548297,578818,605542,632021,655082,683321,717666,756549,796185,844223,876413,902507,939065,985234,1028360,1072926,1112617,1145710,1173481,1216157,1263821,1309890,1347888,1386893,1424339,1460233,1507387,1584519,1621089,1692887,1742492,1776659,1812882,1866357,1920933,1978136,2041682,2097500,2147055,2182047,2230126,2291636,2355642,2414912
,World,,,555,654,941,1434,2118,2927,5578,6166,8234,9928,12038,16788,19888,23898,27643,30802,34395,37129,40159,42768,44810,45228,60381,66908,69050,71234,73269,75151,75651,76211,76840,78601,78979,79543,80396,81373,82737,84114,86009,88386,90360,92938,95237,98028,101972,106010,109961,113863,118886,126549,132299,146706,157797,168943,183597,199434,219029,246950,276535,308843,342256,384421,425575,476456,539352,603752,671357,730934,795573,871985,948200,1029603,1112754,1193131,1264849,1337712,1414392,1498167,1584792,1672450,1749170,1845975,1915565,1985482,2066310,2163014,2250738,2326544,2404791,2478129,2553289,2632444,2719199,2816231,2897494,2968773,3035719,3109860,3187241,3269943,3357026,3436666,3514019,3589337,3669323,3759342,3850100,3943187,4026648,4102468,4178860,4261495,4346868,4443576,4539037,4629832,4708386,4796434,4893068,4995911,5102534,5209423,5308387,5403870,5491222,5584414,5687879,5803750,5924848,6053275,6160378,6256618,6370068,6497136,6623201,6755843,6881653,6994093,7097507,7220475,7354257,7492450,7621352,7755451,7888581,8010366,8149946,8325837,8464712,8645852,8803910,8934813,9072677,9238019,9406144,9584656,9774619,9952881,10119076,10273520,10447889,10664178,10871935,11076096
