Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20
,Guanajuato,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,5,6,7,11,22,23,29,30,34,40,45,49,50,54,56,57,59,64,67,70,77,83,91,93,95,99,100,104,108,121,135,164,174,184,198,208,221,230,242,253,260,286,303,317,333,347,356,367,400,423,452,489,532,559,582,622,675,716,768,806,839,859,914,984,1041,1102,1158,1210,1231,1346,1443,1549,1690,1833,1924,1993,2172,2343,2521,2736,2906,3032,3113,3307,3533,3717,3915,4125,4242,4325,4657,4972,5298,5613,5980,6165,6280,6644,7044,7411,7690,8032,8230,8347,8715,9085,9432,9774,10132
,Guerrero,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,9,10,10,10,11,11,12,12,15,19,22,25,26,28,32,35,36,37,39,42,50,61,67,74,79,84,96,113,120,125,136,149,157,163,179,186,199,218,243,256,274,301,330,361,379,392,432,460,511,540,586,622,662,697,730,777,835,883,952,1011,1061,1102,1229,1338,1481,1621,1750,1817,1888,2024,2140,2257,2368,2465,2527,2605,2757,2863,2979,3107,3228,3316,3380,3531,3636,3782,3936,4076,4151,4247,4387,4538,4646,4749,4879,4929,4998,5176,5291,5381,5511,5632,5752,5902,6085,6231,6396,6592,6767
,Hidalgo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,7,10,10,11,12,17,21,25,25,27,34,41,46,47,50,52,54,57,60,61,61,68,71,75,82,91,95,100,109,115,129,147,158,173,192,211,233,251,276,301,329,359,384,405,432,466,495,537,574,607,631,656,708,764,809,876,956,1010,1036,1116,1186,1263,1355,1434,1486,1526,1615,1686,1764,1857,1930,1977,2018,2112,2191,2257,2320,2385,2436,2465,2552,2662,2738,2810,2906,2951,2993,3070,3142,3216,3291,3374,3426,3454,3527,3604,3687,3770,3858,3901,3942,4036,4115,4217,4301,4379
,Jalisco,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,12,14,26,32,49,59,64,65,68,76,83,90,96,103,105,107,114,121,123,131,141,143,145,149,155,164,169,177,182,187,197,201,212,221,235,242,245,254,270,295,314,346,355,364,386,400,422,448,463,492,508,538,558,583,632,658,686,708,758,797,826,883,947,964,995,1048,1121,1180,1241,1314,1355,1393,1486,1615,1754,1875,2038,2164,2244,2468,2662,2868,3039,3255,3354,3423,3676,3920,4153,4371,4540,4649,4736,4945,5152,5349,5557,5740,5871,5959,6164,6380,6574,6735,6936,7069,7169,7341,7554,7729,7904,8087
,Mexico(State),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,4,4,4,6,7,9,11,14,26,30,40,46,53,59,71,81,86,91,106,129,154,181,224,251,269,322,356,406,455,504,538,578,662,735,824,885,976,1054,1139,1292,1451,1633,1821,1977,2137,2291,2552,2828,3075,3339,3643,3838,4045,4398,4736,5058,5359,5632,5860,6106,6594,6939,7281,7715,8139,8395,8637,9209,9740,10316,10827,11422,11771,12073,12741,13304,13905,14538,15202,15500,15837,16608,17258,17985,18647,19317,19699,20025,20843,21615,22508,23269,24042,24431,24835,25849,26660,27496,28199,28893,29251,29619,30438,31231,31953,32602,33218,33548,33788,34492,35111,35744,36274,36890,37149,37400,38116,38696,39375,39893,40437
,Michoacan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,9,9,12,15,17,20,21,22,25,25,29,33,34,40,42,44,50,56,60,69,72,74,78,91,107,116,124,138,145,153,181,193,205,224,246,273,293,325,354,377,403,427,443,470,513,534,569,598,641,686,711,780,838,939,1016,1119,1163,1190,1256,1322,1423,1502,1597,1618,1652,1771,1872,1962,2074,2203,2250,2296,2462,2588,2735,2877,3008,3081,3120,3310,3503,3652,3819,4012,4087,4136,4337,4529,4725,4891,5123,5235,5279,5486,5672,5834,5986,6088,6158,6184,6352,6508,6616,6727,6834
,Morelos,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,5,5,7,10,10,10,10,13,14,15,16,19,27,28,31,34,42,48,54,60,63,65,69,78,88,98,106,117,126,144,175,194,226,255,288,302,333,380,408,451,487,519,548,597,650,698,752,801,843,870,899,960,1015,1072,1111,1163,1188,1213,1260,1314,1359,1408,1464,1487,1506,1572,1645,1681,1741,1790,1816,1847,1908,1959,2011,2057,2115,2140,2160,2248,2302,2355,2411,2468,2506,2537,2598,2652,2699,2735,2791,2811,2828,2861,2901,2959,2986,3021,3036,3053,3101,3128,3166,3201,3234
,Nayarit,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,7,7,7,7,8,8,8,10,10,10,11,15,17,19,21,23,25,25,27,31,35,37,39,42,46,49,51,52,56,60,66,70,73,79,90,103,108,121,128,143,158,173,197,214,229,235,242,251,271,289,304,322,339,342,348,366,390,407,426,452,465,473,492,521,556,589,619,640,651,674,717,750,779,817,840,856,898,938,972,1017,1074,1101,1121,1170,1205,1247,1293,1337,1367,1400,1477,1526,1574,1617,1667,1711,1735,1796,1857,1920,1972,2033
,Nuevo Leon,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,7,12,18,18,24,30,39,43,55,59,63,68,73,73,74,82,84,87,91,91,91,96,98,101,102,112,119,128,129,150,158,173,193,211,217,229,238,244,246,258,275,291,297,303,308,316,336,363,386,413,440,462,471,510,572,598,622,651,677,698,740,776,843,881,955,985,996,1042,1081,1142,1177,1228,1263,1289,1369,1485,1554,1618,1686,1728,1749,1832,1926,2002,2135,2282,2360,2401,2604,2755,2971,3169,3413,3573,3677,3960,4173,4350,4580,4787,4953,5055,5335,5630,5906,6198,6494,6687,6836,7203,7543,7908,8164,8385
,Oaxaca,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,4,5,6,8,9,12,15,16,17,19,21,27,28,28,31,33,35,40,40,45,46,48,50,52,57,61,68,73,81,87,90,96,100,110,118,133,140,153,162,180,192,204,219,225,240,265,299,323,347,369,385,413,467,533,602,669,748,813,831,955,1028,1103,1205,1286,1369,1405,1507,1588,1680,1808,1931,2046,2091,2243,2396,2542,2729,2896,3031,3084,3256,3416,3582,3737,3884,4046,4118,4317,4473,4660,4831,4995,5132,5174,5377,5561,5728,5909,6088,6230,6300,6490,6657,6867,7052,7183
