Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20
,Africa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,6,9,19,21,28,28,34,36,45,59,68,102,151,211,260,298,420,542,718,930,1185,1547,1978,2464,3002,3544,3895,4423,4846,5412,5976,6591,7377,7990,8620,9177,9715,10409,11100,11696,12276,13017,13689,14502,15301,16320,17576,18708,19823,20806,21746,22994,24214,25748,26783,28123,29210,30636,32427,34250,35644,37549,38923,41270,42973,45133,47347,50659,53028,55358,58051,60917,63547,66179,68705,71646,74154,77318,79957,82975,86998,90365,93494,96819,100204,102962,107318,110942,115598,120458,124111,128646,132426,136496,142527,148335,153499,158156,163648,168768,173887,179857,186306
,Asia,,,554,653,937,1429,2105,2912,5558,6139,8204,9885,11987,16733,19822,23831,27573,30731,34261,36983,40008,42543,44580,44958,60104,66577,68654,70777,72711,74501,74923,75465,76052,77749,77970,78435,79110,79832,80797,81715,82986,84178,85008,86013,86648,87316,88090,88688,89118,89386,89589,90030,90196,90575,91006,91615,92112,92716,93391,94138,95055,95998,97191,98162,99172,100400,101733,103092,104792,106462,107992,109942,112341,114963,116790,119247,121776,125437,127883,130621,133995,137691,141269,145413,150316,154936,159562,164553,170873,177112,183301,189459,196124,202733,210168,217379,223889,230579,237671,244662,251891,259881,268567,277387,287200,298280,309390,319822,331467,343294,354346,367192,379482,390750,401839,415647,426581,439031,452852,466561,481246,496223,512788,529118,546146,562606,578329,592485,609661,628009,648293,668272,689825,709881,732259,756644,780039,803552,828666,854013,876191,901350,928057,955907,966653
,Europe,,,0,0,2,3,3,4,8,10,10,17,22,24,26,27,27,27,30,35,37,42,44,45,45,45,46,46,46,46,46,46,63,105,198,276,380,540,804,1093,1465,2202,2729,3358,4337,5737,7510,9647,12189,14971,18376,23435,26819,38270,46455,54837,65584,76700,90325,108671,129130,150560,169627,195041,218644,248271,283202,318739,355189,384551,415350,450350,486744,522077,559005,592350,621982,648819,677485,711671,744588,782662,812716,864805,889790,915058,945365,987653,1019239,1044256,1075572,1098642,1123797,1148982,1174325,1198065,1219479,1239076,1258998,1278963,1296724,1317305,1338693,1359372,1378453,1396204,1416310,1441896,1465313,1487859,1507169,1525419,1546126,1564840,1581949,1599635,1617896,1633981,1649421,1663258,1678973,1692855,1706283,1723454,1738504,1751817,1763787,1779820,1793443,1809144,1823699,1838401,1851278,1862894,1876464,1892122,1905529,1919294,1932975,1945720,1957877,1970558,1982297,1995974,2010131
,Middle East,,,0,0,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,7,7,8,8,8,8,9,9,10,10,10,12,15,30,44,59,82,148,225,351,506,732,1141,1688,2548,3147,3763,5045,6194,7021,7644,8633,9951,11097,12584,14121,15515,16713,18145,19571,21159,22833,24463,26560,28744,31503,35805,40089,45836,51575,57382,63090,70089,76557,83497,90480,97431,104792,111867,119329,126618,134108,142490,151343,159686,167564,175257,183225,191732,200093,207493,215560,224424,233168,240783,248268,256118,263679,270643,277238,284085,291589,298888,305861,312200,318574,325233,332753,341096,348958,357616,365616,374454,382537,391877,401326,411459,421530,432211,442596,452857,463599,474496,485540,496860,507738,518436,527875,537308,547402,558437,570721,582391,594305,606112,618064,630660,643301,656582,670113,683434,696404,709077,722749,736789,751534
,North America,,,1,1,2,2,6,6,7,7,7,11,12,12,15,15,16,16,18,18,18,18,19,19,20,20,20,20,21,21,21,21,24,24,24,25,26,26,29,31,48,60,86,109,146,220,283,405,537,624,819,1262,1743,2456,3216,3394,5013,6922,9943,15461,21100,27975,36445,47344,58455,71252,90427,109676,130918,151258,174215,201974,228977,261618,295254,329496,360879,392203,424808,458597,495812,531787,563907,594481,621987,651041,682396,717189,753254,784294,812928,843463,871795,903871,941573,981339,1017239,1048010,1073452,1100978,1131914,1165321,1203556,1236731,1266816,1292821,1320155,1349343,1381534,1412798,1442633,1466174,1488306,1514085,1539056,1570992,1600910,1630291,1653134,1679332,1704997,1732611,1763364,1792859,1820453,1846663,1870433,1895361,1919520,1947901,1978076,2007767,2033540,2055789,2082562,2108581,2136507,2168301,2197119,2220757,2243688,2268560,2296902,2327335,2360676
,Oceania,,,0,0,0,0,4,5,5,6,9,10,12,13,13,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,26,28,31,40,55,58,65,69,82,97,112,133,133,208,259,308,388,467,591,718,845,1144,1676,1814,2239,2614,3143,3562,4142,4549,5007,5264,5629,5976,6263,6571,6798,6979,7137,7306,7433,7585,7702,7734,7792,7872,7917,7960,8028,8087,8138,8162,8189,8204,8219,8239,8265,8286,8294,8320,8331,8348,8366,8388,8413,8436,8467,8487,8507,8514,8537,8549,8571,8581,8593,8622,8638,8647,8657,8671,8679,8688,8703,8707,8722,8727,8738,8753,8763,8777,8796,8804,8814,8833,8841,8851,8858,8862,8871,8875,8877,8885,8896,8903,8905
,South America,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,8,11,16,22,34,45,67,74,96,129,148,304,370,437,676,963,1209,1685,2307,3064,4205,5021,5886,6722,7851,9042,10341,11378,12388,14590,16972,19284,21314,23654,25568,27599,30470,35558,39677,45053,47890,50792,54863,57920,63116,67461,72764,77873,82391,86597,91375,96731,104158,121558,131610,138491,145434,155829,166441,178932,190559,200807,212879,224972,237926,254395,269777,286840,301438,313102,323894,338598,358688,379982,404791,425404,440683,461611,488245,518987,548297,578818,605542,632021,655082,683321,717666,756549,796185,844223,876413,902507,939065,985234,1028360,1072926,1112617,1145710,1173481,1216157,1263821,1309890,1347888
,World,,
