Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20
,Florida,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,7,10,13,15,24,31,50,80,114,116,202,319,444,576,774,1016,1240,1426,1694,2369,2912,3775,4258,5484,6751,6965,9011,10270,11548,12358,13329,14555,15465,16376,17543,18505,19906,21060,21658,22543,23366,24782,25523,26333,27071,27883,28372,29668,30555,30852,31545,32152,32858,33207,33700,34733,35472,36082,36899,37452,38017,38835,39203,40012,40601,40983,41923,42435,43250,44157,44834,45602,46453,46958,47492,48683,49459,50152,50876,51755,52261,52640,53291,54505,55431,56174,56842,57456,58766,60187,61490,62759,63939,64911,66009,67382,69078,70973,73555,75570,77336,80118,82721,85931,89751,93798,97292,100251,103503
,Georgia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5,10,17,23,32,42,74,101,124,149,202,293,488,561,633,774,1026,1247,1533,2008,2376,2662,2998,4197,4650,5364,6123,6725,7190,7828,9188,9919,10609,11515,12185,12658,13524,15715,16155,16970,18384,18904,19506,20582,20895,22044,23047,23664,24161,24425,25194,25927,26760,27511,28389,29254,29601,30353,30961,31901,32395,32978,33498,34403,34767,35434,35863,36336,36884,37308,37723,38373,39118,39951,40724,41526,42281,42928,43742,44846,45879,46586,47381,47625,47817,48756,48990,49842,50901,51792,52401,52624,53313,54096,54916,55913,56822,57532,57868,58684,59658,60833,61665,62984,63597,64329,65671,67810
,Guam,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,12,14,15,27,29,32,37,45,51,55,56,58,69,77,82,84,93,112,113,121,121,128,130,133,133,133,133,135,135,136,136,136,136,136,136,139,141,141,141,141,141,141,145,145,145,145,145,145,149,149,151,151,151,151,152,152,152,154,154,154,154,154,154,165,165,165,166,166,167,170,171,172,172,172,175,175,177,179,179,179,179,179,180,180,183,183,183,183,185,186,188,192,200,222,222,222,225
,Hawaii,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,5,7,9,11,16,26,49,51,71,74,93,94,110,121,166,166,188,212,230,259,329,364,385,399,424,424,460,460,482,517,522,532,548,550,557,595,601,605,607,613,617,622,626,628,628,630,634,639,640,641,642,643,648,649,652,652,653,653,655,656,659,659,660,661,662,662,663,665,669,669,669,669,669,669,669,670,672,675,676,676,677,677,677,683,691,692,692,697,699,705,718,734,737,744,743,750,767,793,792,816,817,819
,Idaho,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,9,10,24,37,44,44,70,83,93,148,210,243,300,350,525,578,779,932,1033,1089,1114,1182,1223,1245,1366,1407,1418,1437,1475,1485,1600,1621,1667,1680,1684,1748,1778,1848,1882,1903,1913,1913,1968,1968,1999,2031,2077,2077,2121,2142,2172,2192,2192,2219,2244,2273,2306,2306,2364,2364,2432,2432,2468,2468,2520,2520,2609,2609,2640,2640,2640,2711,2782,2782,2817,2854,2855,2946,2946,3002,3124,3151,3151,3200,3232,3271,3271,3364,3364,3412,3412,3472,3641,3751,3878,4009,4008,4257,4254
,Illinois,,,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,6,7,7,12,25,32,46,64,66,84,165,275,425,588,1002,1383,1639,2039,2449,2540,3690,4139,5237,5692,6613,7590,8280,9103,10906,11797,12785,14077,15602,16937,18381,19660,21309,22510,23739,25089,26209,28028,29592,30768,31902,33378,35389,37242,39923,41979,44063,46008,48214,50441,52967,56119,58647,61651,63976,66066,68522,71156,74089,76380,78017,79297,83308,84993,88209,90651,92740,94450,96728,98269,100652,102904,105634,107984,110477,112176,113341,114463,115944,117637,119131,120458,121409,122958,123959,124899,126036,127016,127862,128527,129299,129935,130687,131281,131927,132577,133066,133656,134250,134876,135549,136167,136801,137252,137825
,Indiana,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,11,13,13,16,20,25,31,39,61,88,128,206,272,425,538,703,1037,1292,1572,1844,2222,2622,3095,3495,4010,4473,4995,5569,6006,6414,6973,7494,7990,8422,8715,9146,9728,10347,10827,11388,11869,12279,12622,13210,13846,14550,15176,16126,16736,17317,17964,18767,19416,20036,20609,21138,21978,22607,23251,23829,24221,24721,25221,25626,26149,26751,27370,27860,28342,28792,29354,30010,30483,30972,31445,31780,32141,32500,33134,33627,34275,34637,34891,35301,35771,36148,36632,37038,37425,37647,38059,38365,38777,39173,39562,39926,40442,40812,41035,41503,41781,42089,42437,42644,42871
,Iowa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,14,17,17,18,23,23,38,44,45,69,90,105,124,148,181,237,301,339,427,497,550,618,705,792,876,951,1050,1148,1273,1391,1513,1590,1716,1903,2001,2147,2338,2518,2905,3174,3646,3772,3950,4469,5114,5498,5894,6401,6862,7162,7898,8656,9188,9748,10245,10525,11181,11568,11802,12092,12490,13031,13402,13781,14163,14452,14768,15065,15413,15726,16258,16582,16992,17346,17643,17799,18448,18669,19037,19318,19629,19783,20093,20395,20880,21223,21540,21774,22087,22300,22679,23023,23400,23760,23963,24117,24219,24507,24891,25297,25518,25977,26155,26469
,Kansas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,9,9,12,19,23,37,49,58,66,86,106,136,173,207,266,330,372,434,487,554,633,702,754,855,915,1052,1119,1120,1282,1351,1397,1453,1516,1627,1746,1833,1916,2057,2174,2365,2728,2968,3138,3280,3476,3655,3843,4418,4640,4893,5164,5392,5656,6002,6340,6675,6837,6958,7167,7249,7527,7715,7892,7945,7959,8309,8360,8515,8632,8915,8952,9010,9132,9206,9298,9378,9669,9697,9707,9931,9972,10100,10175,10316,10373,10417,10552,10619,10763,10836,10984,11031,11112,11329,11430,11663,11763,12031,12107,12146,12435,12537
,Kentucky,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,8,10,14,20,25,32,39,44,50,85,87,103,150,162,197,247,301,404,571,632,838,854,913,929,1193,1246,1266,1336,1354,1637,1697,1698,2231,2281,2461,2556,2745,2876,3013,3266,3357,3499,3676,3815,4073,4197,4368,4438,4652,4808,4974,5137,5133,5377,5499,6072,6202,6378,6533,6681,6677,6911,7080,7076,7437,7654,7889,7884,8132,8262,8374,8483,8615,8746,8743,8740,9101,9219,9321,9595,9849,9845,10172,10319,10545,10833,11093,11397,11392,11578,11802,11974,12032,12254,12516,12511,12707,12703,13044,13247,13477,13649,13761,13844,14141
,Louisiana,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,36,78,100,137,227,297,393,578,805,841,1211,1430,1836,2342,2788,3359,3585,4063,5267,6448,9162,10307,12636,13121,14919,16319,17031,18283,19253,20015,20595,21016,21518,21953,22532,23134,23586,23932,24527,24866,25262,25744,26149,26520,26782,27074,27291,27664,28007,28712,29147,29346,29676,29999,30401,30655,30859,31419,31605,31821,32060,32666,33495,33841,34234,34503,34768,35093,35370,36508,36929,36931,37195,37837,38174,38611,38916,38916,39688,40027,40452,40856,41240,41667,42125,42586,42915,43144,43702,44116,44548,45061,46343,46678,47228,47761,48680,48679,49557,50015,50235,50541,51595
,Maine,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,23,34,46,53,69,82,96,116,132,154,168,179,222,262,284,311,311,381,434,457,472,501,523,542,569,596,626,643,706,747,781,807,840,860,879,888,901,919,950,978,978,1026,1034,1052,1067,1108,1137,1167,1200,1218,1241,1268,1342,1382,1421,1447,1470,1485,1522,1576,1614,1659,1699,1729,1758,1834,1891,1962,2030,2071,2091,2126,2151,2201,2239,2295,2340,2366,2396,2433,2462,2498,2544,2589,2607,2625,2656,2687,2738,2775,2808,2823,2834,2849,2889,2922,2946,2963,2973,2996
,Maryland,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,8,9,12,18,27,31,50,67,93,114,156,201,251,298,356,432,590,782,1003,1246,1420,1668,1993,2338,2765,3132,3624,4052,4378,5537,6192,6976,7702,8233,8944,9481,10043,10795,11582,12334,12855,13719,14226,14793,15752,16631,17774,18589,19495,20121,20858,21755,23484,24490,25470,26416,27182,28173,29382,30495,31616,32594,33380,34068,34819,35910,36993,37982,38823,39769,41553,42330,43547,44432,45504,46320,47159,47694,48435,49716,50996,52024,52785,53416,54182,54993,55866,56777,57499,57989,58419,58917,59473,60207,60621,61313,61746,62064,62477,63011,63267,63553,63962,64308,64608,65007
,Massachusetts,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6,6,22,22,41,92,107,123,138,138,187,217,252,328,413,523,640,777,1159,1838,2417,3240,4257,4955,5752,6777,7978,9188,10682,11956,12780,14087,15470,17072,19237,21345,23136,25604,26924,28164,29919,32181,34985,37017,38674,40252,41832,43693,46929,51854,54333,55903,57463,59537,61719,63778,65980,68035,69318,70693,72011,74149,75933,77702,79168,80255,80989,81950,83232,84985,86312,87862,88968,90023,90987,92100,93282,94212,95020,96084,96725,97185,97761,98508,99203,100035,100756,101073,101443,101867,102319,102796,103374,103669,103828,104090,104349,104832,105215,105527,105719,105872,106023,106266,106514,106732,106995,107092,107221,107439
,Michigan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,24,38,49,81,96,167,314,485,643,1153,1480,1972,2502,3072,3892,4893,5756,6809,7957,9724,11236,13225,14742,16274,17827,19651,21123,22338,23594,24808,25490,26931,28332,29440,30257,31636,32431,33098,33741,34456,35870,37299,38770,39243,39988,40483,41591,42801,43900,44958,45854,46498,46824,47284,48093,48736,49506,50053,50455,51001,51575,52114,53414,54072,54566,55243,56148,56800,57637,58276,58799,59308,59650,59868,60214,60812,61332,62058,62438,62995,63205,63490,63896,64248,65083,65165,65208,65330,65381,65386,65631,65874,66018,66215,66318,66484,66688,66960,67225,67641,67785,68005,68197
,Minnesota,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,9,14,25,25,57,63,81,93,121,143,173,238,267,292,349,401,447,509,581,634,694,748,795,870,936,991,1077,1168,1260,1360,1451,1647,1650,1697,1849,1852,2108,2248,2392,2508,2606,2757,2978,3218,3480,3633,3851,4213,4675,5165,5755,6272,6697,7256,7871,8608,9387,10098,10812,11291,11814,12504,12958,13456,14257,14986,15682,16388,17038,17685,18217,19037,19884,20614,21350,22009,22468,22951,23564,24203,24863,25219,25524,25900,26304,26989,27506,27900,28236,28535,28885,29330,29828,30211,30516,30738,30927,31329,31707,32071,32489,32926,33229,33469
,Mississippi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,13,18,29,43,61,83,117,140,255,301,377,439,553,654,743,843,850,1026,1160,1272,1446,1541,1723,1821,1997,2090,2341,2548,2725,2861,3022,3164,3437,3698,3872,4048,4349,4584,4788,4970,5222,5504,5786,5983,6161,6407,6633,6886,7276,7504,7615,7932,8261,8497,8759,9158,9440,9574,9734,9962,10144,10532,10862,11178,11353,11505,11776,12024,12271,12662,13048,13295,13506,13768,14089,14417,14825,15259,15551,15800,16083,16383,16614,16820,17071,17297,17793,18147,18509,18510,19113,19368,19536,19821,20179,20666,20667,20668,20668,20667,22332,22898
,Missouri,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,5,6,9,15,22,42,79,96,129,228,293,393,585,752,872,942,1312,1561,1813,2013,2134,2479,2574,3041,3337,3521,3765,4165,4410,4564,4733,4897,5024,5323,5534,5727,5895,6057,6261,6451,6733,6966,7132,7296,7473,7618,7788,7984,8231,8479,8743,9040,9236,9483,9714,9885,10036,10150,10267,10370,10565,10742,10909,11085,11207,11355,11485,11659,11806,12023,12179,12428,12582,12753,12929,13111,13258,13423,13595,13809,14075,14315,14602,14768,15057,15147,15369,15580,15768,15960,16146,16374,16400,16737,16974,17168,17460,17739,18108,18499,18624,19005
,Montana,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,7,10,12,12,20,27,34,34,51,71,96,115,135,160,177,204,214,250,254,272,292,305,326,339,361,374,386,396,403,408,413,424,433,437,444,444,448,450,453,455,456,459,460,462,462,464,464,466,466,468,468,468,468,470,471,471,472,474,474,474,478,480,480,482,483,490,491,491,491,491,491,491,493,497,505,517,527,531,535,537,551,553,554,558,560,566,574,577,585,599,612,620,625,642,665,675,705,724,739,743
,Nebraska,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,10,14,18,18,18,23,24,29,39,42,55,55,70,75,78,84,100,108,149,176,215,252,287,330,374,430,460,535,586,656,722,793,816,905,908,956,1081,1294,1546,1732,1814,1939,2340,2579,2881,3192,3514,3696,4031,4442,5226,5544,5898,6283,6629,6959,7357,7981,8378,8459,8689,8843,9214,9539,9907,10344,10467,10754,10981,11234,11528,11771,12069,12218,12443,12698,13059,13320,13704,13953,14146,14390,14657,14922,15171,15433,15597,15687,15807,15937,16075,16370,16574,16690,16776,16901,17085,17275,17453,17623,17729,17830,17975,18099
,Nevada,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4,7,10,18,20,20,45,55,55,95,161,178,190,245,353,399,508,614,626,920,1146,1275,1391,1572,1752,1959,2078,2165,2333,2498,2635,2809,2836,3040,3214,3355,3424,3427,3639,3802,3915,3998,4104,4273,4399,4525,4712,4825,4883,5001,5111,5227,5419,5557,5637,5792,5853,5896,6007,6040,6195,6263,6283,6419,6610,6635,6861,6938,7071,7180,7212,7501,7591,7675,7675,8007,8054,8152,8242,8337,8462,8600,8708,8779,8932,9030,9198,9375,9554,9729,9873,10099,10269,10521,10757,11044,11246,11358,11713,11880,12192,12541,12989,13251,13534,13528
,New Hampshire,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,4,4,4,5,6,6,7,7,17,26,37,42,53,72,91,102,129,140,174,196,234,266,315,414,424,536,536,596,673,770,770,802,843,843,941,984,1040,1127,1196,1196,1342,1400,1448,1501,1534,1629,1717,1775,1846,1925,1995,2061,2109,2202,2351,2451,2555,2629,2677,2777,2878,2976,3038,3102,3189,3275,3335,3411,3483,3611,3652,3687,3778,3923,3990,4068,4146,4208,4259,4294,4352,4456,4564,4565,4725,4760,4821,4868,4952,4953,5091,5113,5145,5141,5236,5267,5303,5346,5360,5382,5399,5467,5478,5508,5535,5555,5563,5571
,New Jersey,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,5,15,23,29,49,69,72,176,250,397,741,925,1327,1914,2844,3675,4402,6879,8825,11124,13386,16636,19189,22255,25590,29896,34941,38378,42205,46787,50566,54493,58343,61573,64864,67611,71294,73955,78325,81746,84612,88598,91961,93080,98577,102567,105256,108500,111833,113788,116498,118949,121418,123793,126169,129173,130634,132997,134192,136829,138620,140119,141418,142812,143650,144438,145359,146358,147250,148762,150440,151498,152894,153612,154550,155064,155902,156744,157310,157969,159082,160010,160808,161601,162032,162465,163013,163431,164205,164679,164936,165194,165465,166012,166400,166778,167160,167384,167567,167856,168071,168413,168750,169028,169322,169540,169734
,New Mexico,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,13,13,21,23,28,35,42,55,57,83,100,113,113,136,208,238,238,315,327,373,490,511,627,689,797,824,868,1084,1094,1249,1266,1350,1489,1489,1602,1803,1850,1976,1976,2215,2383,2529,2668,2735,2836,2985,3224,3423,3526,3745,3864,4047,4155,4309,4513,4694,4801,4873,5075,5221,5374,5512,5671,5856,5948,6104,6201,6443,6554,6644,6644,6945,7030,7134,7257,7369,7499,7631,7696,7863,8029,8147,8356,8675,8804,8944,9066,9111,9264,9369,9530,9625,9728,9851,9938,10069,10187,10306,10433,10568,10695,10838
,New York,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,23,31,76,106,142,150,220,327,422,613,710,1132,1814,3345,6064,8403,12173,16219,21215,26115,31270,38302,45297,52827,60061,67072,76238,84349,92903,103380,114222,123545,132196,140252,151434,162149,172713,181387,189390,196102,203369,214799,224031,230936,237804,243707,248736,253834,258532,264784,272540,282485,288354,292297,295400,299974,304647,308582,313240,316672,319204,321438,324219,327705,330638,333348,335616,337271,338695,340866,343251,346008,348422,350306,351551,353020,354540,356623,358314,360081,361665,362909,363976,365100,366863,368409,369780,370885,371821,373145,374185,375228,376298,377401,378177,378874,379552,380221,380952,381769,382680,383369,383984,384610,385172,385785,386576,387287,387946,388493,389085
,North Carolina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,7,7,15,19,26,33,40,65,96,140,190,258,307,355,496,591,739,888,1021,1193,1327,1539,1679,1979,2253,2487,2650,2963,3300,3512,3745,3981,4384,4578,4894,5120,5381,5677,6087,6367,6637,6935,7165,7522,7874,8311,8786,9086,9517,9941,10345,10903,11215,11706,11883,12076,12607,13149,13633,14096,14567,15029,15360,15705,16432,17040,17561,18191,18725,19253,19286,20298,20541,22128,22869,23369,24061,24459,24920,25804,26889,27804,28792,29598,30029,31282,32080,33300,34723,35630,36522,37232,38478,39589,41421,42849,44268,45118,45910,46937,48170,49789,51488,52880,53966,54639
,North Dakota,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,6,19,26,28,28,30,36,45,51,68,94,98,110,123,143,161,175,188,209,227,239,253,271,280,294,309,332,342,366,394,394,529,587,629,646,682,712,750,805,869,944,993,1036,1070,1110,1156,1194,1229,1268,1325,1373,1426,1465,1492,1519,1574,1650,1716,1764,1851,1903,1933,1998,2099,2233,2321,2370,2423,2462,2480,2497,2534,2572,2603,2624,2669,2688,2718,2744,2780,2848,2891,2910,2932,2971,3007,3042,3082,3102,3123,3146,3187,3211,3241,3266,3299,3319,3320
,Northern Mariana Islands,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,8,8,8,8,8,11,11,11,11,11,11,11,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,16,16,19,19,19,19,19,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,23,24,26,26,26,27,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,Ohio,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,12,26,30,50,67,89,119,173,247,356,443,567,706,868,1137,1406,1654,1936,2201,2552,2902,3312,3755,4062,4457,4805,5151,5516,5882,6251,6607,6983,7290,7797,8419,9115,10228,11609,12975,13754,14148,14722,15190,15606,15986,16363,16797,17316,18038,18778,19399,19997,20482,20977,21583,22138,23024,23706,24092,24792,25268,25733,26371,26966,27481,27932,28461,28963,29448,30176,30801,31413,31916,32483,33014,33449,33924,34572,35037,35517,35991,36357,36804,37286,37764,38118,38482,38840,39166,39583,40015,40446,40858,41156,41583,42018,42439,43127,43736,44270,44814,45543,46127
,Oklahoma,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,10,17,17,44,49,53,67,81,106,164,248,322,377,429,481,569,721,881,993,1162,1257,1331,1476,1534,1688,1800,1877,1978,2076,2197,2279,2372,2482,2484,2714,2795,2920,3008,3127,3229,3303,3361,3394,3514,3578,3723,3850,3950,4070,4142,4223,4300,4424,4518,4585,4681,4707,4828,4950,5054,5176,5325,5394,5479,5568,5617,5757,5928,6033,6109,6161,6204,6292,6333,6400,6480,6478,6587,6745,6859,6957,7055,7108,7195,7247,7404,7522,7665,7884,8110,8259,8443,8672,8938,9374,9727,10056,10528,10741,11031
,Oregon,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,6,14,14,14,19,24,30,36,36,39,66,76,89,115,139,162,191,210,266,316,416,480,548,606,692,737,827,900,900,1069,1069,1135,1185,1321,1322,1373,1527,1585,1636,1670,1737,1786,1846,1913,1958,2006,2062,2130,2181,2255,2313,2356,2391,2448,2512,2580,2639,2686,2760,2840,2917,2990,3070,3161,3229,3287,3360,3418,3485,3543,3617,3628,3692,3733,3808,3829,3873,3895,3934,3957,3976,4046,4094,4140,4195,4253,4309,4342,4407,4483,4579,4580,4671,4930,5000,5072,5247,5388,5389,5643,5827,6104,6225,6370,6576,6754,6943,7087,7274
,Pennsylvania,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7,12,16,22,41,47,47,79,112,155,206,311,399,509,701,946,1260,1795,2345,2847,3438,4156,4967,6015,7275,8573,10445,11591,13128,14858,16635,18301,20052,21720,22938,24292,25468,26756,28261,29888,31652,32905,33916,35251,36084,38395,40216,41160,42626,43564,45145,46336,47975,49583,50495,51228,52818,53866,54801,55959,57373,58568,59947,60468,61319,62124,63120,64154,65200,65723,66681,67329,68137,69260,70213,71019,71576,71934,72787,73564,74231,74993,75704,76135,76665,77230,77791,78340,78830,79514,79914,80348,80874,81321,81854,82488,82948,83208,83594,83987,84302,84697,85206,85594,85937,86578,87208
,Puerto Rico,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,14,21,23,31,39,51,64,79,100,127,174,239,286,316,316,452,475,513,573,620,683,725,788,897,903,923,974,1043,1068,1118,1213,1252,1298,1357,1416,1418,1421,1424,1427,1430,1433,1539,1575,1757,1808,1843,1924,1968,2031,2156,2173,2198,2256,2299,2329,2427,2542,2589,2646,2710,2805,2866,2913,3030,3100,3189,3260,3324,3397,3486,3647,3718,3776,3873,3935,4023,4508,4620,4915,4985,5046,5185,5329,5352,5536,5690,5811,5890,5951,6003,6111,6195,6463,6525,6564,6685
