Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20
,Buenaventura,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,6,7,7,9,10,13,15,18,18,19,21,21,21,23,23,25,25,26,28,30,35,38,38,41,49,50,53,54,58,59,64,81,87,94,97,108,136,159,164,179,189,239,256,271,286,324,360,380,394,519,542,567,594,627,649,731,749,761,815,832,861,937,954,997,1015,1052,1122,1142,1168,1202,1225,1253,1276,1303,1342,1356,1379,1405,1414,1434,1444,1498,1525,1536,1567,1581,1584
,Barranquilla,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,7,7,7,10,14,15,17,20,24,26,35,37,38,47,47,49,51,55,58,64,69,73,75,78,82,85,88,90,93,97,100,104,107,109,115,125,137,157,167,172,191,196,231,280,293,342,361,392,475,498,545,583,645,769,841,917,964,1066,1105,1152,1273,1379,1448,1616,1740,1795,1913,1977,2065,2159,2362,2494,2616,2803,2950,3257,3469,3674,3871,4016,4276,4505,4829,5116,5525,6153,6523,6836,7253,7768,8202,8738,9171,9535,9971,10539,10781,11657,12072,12497,12808,13008,13404,13939,14257,14705,15094,15414
,Dar es Salaam,-6.369,34.8888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,4,4,4,4,6,6,6,6,6,6,7,7,7,8,8,10,10,10,16,17,29,31,48,48,56,84,84,94,94,99,99,99,99,99,159,159,159,159,159,159,159,159,159,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169
,Delhi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,4,4,5,6,7,7,8,9,10,11,14,20,27,28,30,32,35,39,40,49,72,97,120,152,293,386,445,503,525,576,669,720,903,1069,1154,1510,1561,1578,1640,1707,1893,2003,2079,2156,2248,2376,2514,2625,2918,3108,3314,3439,3515,3738,4122,4549,4898,5104,5532,5980,6318,6542,6923,7233,7639,8357,8470,8895,9333,9755,10054,10554,11088,11659,12319,12910,13418,14053,14465,15257,16281,17387,18549,19844,20834,22132,23645,25004,26334,27654,28936,29943,31309,32810,34687,36824,38958,41182,42829,44688,47102,49979,53116,56746,59746,62655,66602,70390,73780,77240,80188,83077,85161,87360,89802,92175,94695,97200,99444,100823
,Doha,25.3548,51.1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,5,59,59,72,76,90,99,99,102,103,106,108,111,113,118,121,123,126,133,143,156,176,188,214,242,299,362,413,464,498,536,567,615,672,729,773,837,926,1052,1130,1229,1357,1474,1612,1752,1924,2112,2322,2538,2691,2836,3027,3182,3357,3510,3655,3869,4057,4264,4560,4815,5083,5332,5677,5991,6382,6642,6992,7360,7668,8038,8374,8725,9138,9529,9868,10263,10657,11049,11493,11943,12475,12847,13191,13603,14032,14389,14785,15169,15529,15838,16226,16614,16947,17289,17702,17970,18258,18529,18776,19062,19293,19524,19723,19957,20222,20493,20732,20946,21144,21314,21470,21692,21898,22100,22271,22390,22529,22653
,Dubai,24.0,54.0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,6,7,7,7,9,9,9,9,15,15,15,25,25,29,29,29,33,33,33,38,48,48,52,52,68,85,114,114,139,161,196,210,228,280,352,434,517,619,714,811,914,1028,1156,1285,1418,1555,1697,1846,2004,2168,2168,2333,2499,2668,2834,3013,3193,3376,3561,3729,3915,4104,4294,4486,4679,4873,5068,5227,5415,5588,5778,5993,6262,6496,6765,7015,7255,7512,7786,8037,8324,8624,8948,9255,9597,9877,10146,10428,10697,11000,11194,11414,11664,11891,12109,12315,12511,12738,12953,13168,13354,13549,13731,13938,14103,14280,14449,14553,14671,14790,14922,15055,15190,15324,15459,15589,15720,15874,16022,16163,16297,16447,16602,16746,16885,17022,17254,17500,17735,17917
,Dublin,53.406,-6.294499999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,535,659,774,922,1070,1233,1393,1487,1645,1838,2077,2251,2490,2692,3061,3268,3557,3873,4156,4514,5006,5438,5850,6337,6567,6934,7379,7666,7781,7905,8216,8729,9010,9224,9532,9624,9751,9967,10170,10277,10406,10561,10670,10734,10840,10885,10948,11068,11175,11235,11242,11308,11557,11557,11666,11693,11759,11762,11765,11794,11830,11873,11876,11894,11961,11996,12023,12031,12042,12052,12090,12093,12109,12118,12127,12139,12158,12159,12163,12167,12172,12179,12210,12213,12228,12235,12239,12248,12257,12263,12267,12267,12267,12267,12267,12267,12267,12267,12267,12267,12267,12268,12269,12270,12270,12270,12270
,Edinburgh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,10,14,16,16,17,19,20,23,25,26,34,40,50,64,80,87,108,120,155,179,205,235,275,308,333,359,404,432,462,495,529,539,572,601,640,677,716,777,809,824,876,927,973,1000,1032,1043,1059,1102,1145,1164,1194,1208,1222,1242,1272,1296,1315,1344,1364,1376,1386,1404,1422,1444,1468,1481,1485,1489,1494,1510,1523,1532,1541,1543,1547,1552,1556,1560,1565,1566,1569,1570,1574,1591,1596,1601,1603,1604,1606,1606,1609,1616,1621,1623,1798,1802,1806,1807,1812,1815,1819,1819,1820,1821,1821,1821,1822,1822,1822,1822,1822,1822,1823,1825,1825,1826
,York,,,0,0,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,2,2,2,2,2,2,2,3.0,3,3,4.0,5.0,5,6,7.0,9.0,11.0,12.0,13.0,13,14.0,16.0,17.0,18.0,23.0,30.0,32,34.0,39.0,51.0,62.0,70.0,74.0,78.0,88.0,101.0,111.0,120.0,126.0,129.0,134.0,147.0,154.0,161.0,171.0,185.0,191.0,200.0,215.0,226.0,250.0,272.0,294.0,313.0,340.0,363.0,383.0,433.0,458.0,479.0,504.0,524.0,553.0,588.0,607.0,627.0,649.0,658.0,671.0,702.0,714.0,724.0,745.0,757.0,764.0,768.0,774.0,780.0,788.0,798.0,804.0,808.0,811.0,818.0,823.0,833.0,837.0,840.0,843.0,844.0,847.0,854.0,856.0,857.0,860.0,860,861.0,865.0,867.0,869.0,871.0,873.0,875.0,877.0,878.0,884.0,885.0,887.0,890.0,890,891.0,892.0,892,892,893.0,894.0,895.0,896,898.0,898,899.0,900.0,901.0,902.0,902,902
,Bristol,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,2.0,3.0,3,3,4.0,4,5.0,8.0,10.0,11.0,13,15.0,22.0,24.0,28.0,36.0,41.0,50.0,54.0,66.0,80.0,94.0,104.0,116.0,133.0,151.0,168.0,183.0,203.0,213.0,227.0,240.0,262.0,290.0,307.0,325.0,351.0,366.0,382.0,399.0,421.0,449.0,463.0,477.0,492.0,513.0,533.0,571.0,596.0,635.0,647.0,670.0,700.0,734.0,765.0,787.0,815.0,828.0,837.0,859.0,872.0,894.0,910.0,928.0,938.0,963.0,981.0,989.0,993.0,1004.0,1006.0,1013.0,1019.0,1028.0,1046.0,1059.0,1068.0,1077.0,1078.0,1089.0,1092.0,1097.0,1130.0,1156.0,1167.0,1171.0,1183.0,1188.0,1200.0,1204.0,1214.0,1222.0,1230.0,1234.0,1237.0,1241.0,1243.0,1248.0,1250.0,1254.0,1256.0,1257,1258.0,1260.0,1263.0,1263,1264.0,1265,1266,1267.0,1271.0,1272,1273.0,1274.0,1275,1277.0,1278,1279.0,1280.0,1280,1281.0,1281,1281
,Manchester,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,4.0,4,4,5,6.0,7.0,8.0,11,15.0,16,18.0,24.0,28.0,31.0,35.0,39.0,42.0,46.0,58.0,67.0,81.0,103.0,117.0,148.0,171.0,195.0,228.0,257.0,291.0,321.0,361.0,397.0,470.0,529.0,582.0,645.0,682.0,726.0,763.0,803.0,853.0,892.0,927.0,942.0,996.0,1031.0,1073.0,1112.0,1168.0,1218.0,1271.0,1306.0,1332.0,1355.0,1389.0,1439.0,1473.0,1511.0,1534.0,1563.0,1585.0,1630.0,1677.0,1716.0,1743.0,1768.0,1798.0,1832.0,1867.0,1903.0,1927.0,1952.0,1990.0,2017.0,2053.0,2100.0,2132.0,2156.0,2182.0,2200.0,2216.0,2240.0,2263.0,2273.0,2306.0,2326.0,2350.0,2370.0,2389.0,2414.0,2432.0,2449.0,2471.0,2480.0,2488.0,2506.0,2522.0,2536.0,2556.0,2569.0,2583.0,2602.0,2618.0,2637.0,2656.0,2681.0,2697.0,2712.0,2718.0,2735.0,2748.0,2768.0,2782.0,2794.0,2812.0,2820.0,2829.0,2836.0,2850.0,2866.0,2876.0,2884.0,2888.0,2895.0
,Liverpool,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,3,3,4.0,5.0,5,5,6.0,7,9.0,11.0,13.0,14,16.0,20.0,29.0,35.0,45.0,59.0,72.0,90.0,115.0,139.0,173.0,200.0,227.0,263.0,306.0,347.0,395.0,451.0,510.0,557.0,603.0,654.0,721.0,796.0,862.0,896.0,936.0,971.0,1008.0,1039.0,1083.0,1137.0,1173.0,1219.0,1248.0,1292.0,1334.0,1386.0,1420.0,1458.0,1501.0,1520.0,1558.0,1595.0,1642.0,1681.0,1724.0,1753.0,1782.0,1801.0,1832.0,1853.0,1876.0,1902.0,1916.0,1933.0,1950.0,1990.0,2011.0,2025.0,2056.0,2063.0,2073.0,2083.0,2096.0,2112.0,2126.0,2135.0,2149.0,2169.0,2183.0,2200.0,2218.0,2231.0,2238.0,2249.0,2254.0,2260.0,2266.0,2274.0,2285.0,2290.0,2294.0,2298.0,2300.0,2302.0,2308.0,2314.0,2320.0,2326.0,2329.0,2333.0,2338.0,2349.0,2351.0,2353.0,2354.0,2360.0,2369.0,2373.0,2379.0,2384.0,2386.0,2392.0,2399.0,2411.0,2417.0,2424.0,2434.0,2439.0,2440.0,2446.0,2446
,Newcastle,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,2.0,3.0,3,4.0,4,4,5.0,5,6,7.0,9.0,13.0,16,19.0,22.0,27.0,35.0,44.0,49.0,66.0,86.0,105.0,124.0,144.0,156.0,186.0,205.0,239.0,280.0,311.0,343.0,366.0,390.0,429.0,469.0,499.0,540.0,569.0,589.0,606.0,626.0,657.0,683.0,715.0,744.0,780.0,808.0,836.0,856.0,891.0,915.0,947.0,961.0,976.0,992.0,1025.0,1046.0,1087.0,1105.0,1126.0,1137.0,1152.0,1175.0,1195.0,1219.0,1229.0,1234.0,1244.0,1253.0,1272.0,1285.0,1295.0,1305.0,1315.0,1322.0,1328.0,1334.0,1344.0,1351.0,1358.0,1362.0,1366.0,1368.0,1394.0,1409.0,1416.0,1426.0,1432.0,1437.0,1441.0,1443.0,1448.0,1452.0,1461.0,1462,1464,1466.0,1471.0,1474.0,1475.0,1476,1477.0,1487.0,1491.0,1497.0,1500.0,1502.0,1503.0,1503,1504,1505.0,1509.0,1511.0,1513.0,1513,1514.0,1514,1515.0,1519.0,1519,1519,1520.0,1520,1520,1520
,Birmingham,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,2,2,3.0,3,3,4.0,5.0,9.0,15.0,22.0,36.0,43.0,55.0,70.0,94.0,126.0,161.0,213.0,243.0,269.0,334.0,401.0,462.0,554.0,624.0,704.0,812.0,935.0,1067.0,1175.0,1277.0,1358.0,1445.0,1517.0,1580.0,1657.0,1734.0,1783.0,1843.0,1875.0,1921.0,1958.0,2029.0,2107.0,2223.0,2320.0,2429.0,2493.0,2552.0,2639.0,2746.0,2835.0,2908.0,2973.0,3023.0,3079.0,3123.0,3197.0,3275.0,3354.0,3395.0,3448.0,3475.0,3530.0,3570.0,3617.0,3673.0,3710.0,3746.0,3787.0,3825.0,3873.0,3909.0,3951.0,3983.0,4002.0,4029.0,4060.0,4089.0,4112.0,4139.0,4161.0,4184.0,4200.0,4232.0,4262.0,4288.0,4306.0,4324.0,4341.0,4355.0,4371.0,4388.0,4407.0,4427.0,4441.0,4450.0,4471.0,4491.0,4498.0,4507.0,4525.0,4533.0,4549.0,4577.0,4597.0,4615.0,4630.0,4639.0,4647.0,4661.0,4678.0,4697.0,4708.0,4718.0,4727.0,4732.0,4740.0,4747.0,4760.0,4767.0,4784.0,4793.0,4800.0,4802.0,4805.0
,Leeds,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2,2,2,2,3.0,3,4,5.0,6,8.0,9,11.0,12.0,12,13,14.0,15.0,18.0,22.0,28.0,35.0,41.0,52.0,69.0,87.0,98.0,119.0,140.0,166.0,187.0,214.0,238.0,269.0,299.0,336.0,353.0,389.0,438.0,502.0,546.0,591.0,638.0,679.0,719.0,747.0,785.0,864.0,959.0,1023.0,1076.0,1163.0,1226.0,1304.0,1413.0,1493.0,1592.0,1637.0,1684.0,1755.0,1826.0,1908.0,1960.0,2046.0,2095.0,2129.0,2177.0,2228.0,2280.0,2363.0,2411.0,2436.0,2482.0,2541.0,2577.0,2630.0,2669.0,2697.0,2735.0,2778.0,2817.0,2855.0,2896.0,2950.0,2979.0,2990.0,3000.0,3015.0,3028.0,3043.0,3061.0,3077.0,3083.0,3100.0,3115.0,3123.0,3141.0,3156.0,3170.0,3177.0,3192.0,3208.0,3228.0,3250.0,3260.0,3298.0,3306.0,3312.0,3332.0,3343.0,3372.0,3412.0,3446.0,3459.0,3468.0,3488.0,3500.0,3518.0,3528.0,3541.0,3556.0,3566.0,3574.0,3580.0,3590.0,3598.0,3603.0,3606.0,3610.0,3610
,London,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,2.0,5.0,7.0,9.0,14.0,15.0,19.0,31.0,37.0,55.0,71.0,94.0,108.0,130.0,183.0,274.0,457.0,622.0,758.0,907.0,1072.0,1306.0,1616.0,1972.0,2305.0,2731.0,3082.0,3519.0,4208.0,4844.0,5601.0,6363.0,7183.0,7760.0,8354.0,9221.0,10153.0,11131.0,12203.0,13183.0,13949.0,14584.0,15443.0,16396.0,17270.0,18068.0,18682.0,19203.0,19704.0,20304.0,20908.0,21568.0,22145.0,22724.0,23126.0,23521.0,23953.0,24420.0,24816.0,25340.0,25718.0,26051.0,26362.0,26779.0,27090.0,27521.0,27946.0,28301.0,28550.0,28717.0,28962.0,29183.0,29448.0,29719.0,29926.0,30053.0,30178.0,30338.0,30534.0,30737.0,30894.0,31025.0,31100.0,31180.0,31291.0,31422.0,31566.0,31724.0,31809.0,31874.0,31925.0,31983.0,32049.0,32132.0,32205.0,32262.0,32300.0,32338.0,32387.0,32434.0,32513.0,32570.0,32617.0,32663.0,32708.0,32765.0,32836.0,32889.0,32936.0,32989.0,33028.0,33059.0,33100.0,33147.0,33189.0,33235.0,33272.0,33300.0,33327.0,33377.0,33426.0,33473.0,33529.0,33575.0,33607.0,33628.0,33683.0,33730.0,33768.0,33799.0,33830.0,33846.0,33869.0,33873.0
,Berlin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,9,15,24,28,40,48,90,137,174,216,265,300,383,519,688,868,1025,1071,1219,1425,1425,1937,2152,2337,2462,2581,2679,2777,3223,3486,3626,3687,3687,3862,4038,4202,4357,4458,4567,4601,4667,4736,4848,4971,5091,5159,5225,5265,5341,5408,5476,5532,5600,5677,5707,5738,5881,5887,5943,6004,6010,6086,6092,6149,6203,6242,6261,6272,6274,6298,6342,6393,6428,6447,6474,6478,6507,6555,6585,6611,6637,6642,6652,6672,6703,6738,6767,6799,6816,6839,6873,6901,6945,6964,6997,7016,7042,7082,7135,7165,7252,7282,7322,7368,7402,7475,7602,7733,7804,7833,7916,7975,8020,8096,8144,8168,8176,8220,8242,8292,8342,8392
,Bremen,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,4,4,4,21,38,42,50,53,56,66,66,119,127,168,168,175,186,203,213,264,278,290,298,306,315,332,354,388,395,395,397,424,445,453,469,480,486,491,499,507,555,584,585,603,626,627,672,720,722,739,761,779,798,861,866,871,894,906,919,941,963,1000,1024,1043,1061,1069,1077,1104,1134,1150,1164,1242,1249,1256,1273,1291,1301,1306,1312,1313,1325,1348,1372,1398,1406,1421,1436,1450,1462,1502,1513,1517,1531,1532,1547,1574,1577,1581,1589,1592,1597,1607,1619,1631,1636,1645,1648,1654,1657,1660,1662,1664,1666,1668,1670,1672,1674,1677,1680
,Hamburg,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,8,8,12,13,17,29,48,88,99,158,162,260,312,414,506,664,768,887,989,1237,1450,1614,1759,1935,2078,2214,2252,2290,2557,2739,2882,3019,3088,3088,3370,3444,3518,3663,3742,3770,3887,3925,3953,4064,4297,4322,4347,4401,4401,4479,4558,4558,4608,4658,4670,4682,4801,4812,4823,4834,4844,4855,4872,4889,4907,4921,4936,4951,4960,4972,4976,4976,5017,5029,5034,5042,5042,5053,5059,5062,5066,5069,5069,5072,5076,5078,5082,5085,5089,5098,5098,5102,5106,5111,5113,5115,5117,5121,5133,5134,5139,5139,5144,5146,5149,5154,5155,5160,5163,5170,5170,5175,5175,5176,5177,5178,5194,5201,5203,5208,5213,5219
,Hong Kong,22.3,114.2,0,2,2,5,8,8,8,10,10,12,13,15,15,17,21,24,25,26,29,38,49,50,53,56,56,57,60,62,63,68,68,69,74,79,84,91,92,94,95,96,100,100,105,105,107,108,114,115,120,126,129,134,140,145,155,162,181,208,256,273,317,356,386,410,453,519,561,641,682,714,765,802,845,862,890,914,935,960,973,989,1000,1004,1009,1012,1017,1017,1021,1024,1025,1025,1029,1033,1035,1035,1037,1037,1037,1037,1037,1037,1039,1039,1039,1040,1040,1040,1044,1044,1044,1047,1047,1047,1050,1051,1052,1052,1055,1055,1055,1055,1055,1065,1065,1065,1065,1065,1066,1066,1079,1082,1084,1087,1093,1093,1099,1102,1105,1106,1107,1107,1107,1107,1108,1109,1109,1112,1112,1120,1124,1124,1128,1131,1161,1177,1179,1193,1196,1197,1199,1203,1205,1233,1242,1247,1258,1268,1285
,Honolulu,21.45803166,-157.97121819999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,5,6,10,10,28,28,41,41,58,58,68,76,108,108,123,139,157,182,237,266,281,292,312,312,334,334,343,350,352,358,369,369,373,382,385,385,385,388,389,392,395,396,396,396,399,399,400,400,400,400,404,405,408,408,408,408,410,411,414,414,414,415,415,415,415,416,416,416,416,416,416,416,416,417,419,421,421,421,422,423,424,431,439,441,442,448,451,458,472,489,493,501,501,508,526,551,551,566,568,571,584,595,608,613,636,638,652,659,676,701,720,744,750
,Hyderabad,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,13,16,17,19,24,29,31,33,36,50,58,61,68,88,118,145,151,176,202,210,219,222,225,229,234,244,289,329,334,367,417,448,486,492,498,513,526,526,532,543,543,548,548,548,553,568,588,591,591,602,614,624,654,680,759,796,827,867,900,944,981,1007,1041,1056,1082,1082,1124,1147,1178,1216,1216,1216,1298,1339,1461,1540,1610,1718,1828,1944,2096,2228,2228,2371,2514,2689,2822,3001,3196,3385,3550,3764,4066,4395,4853,5512,6225,6877,7596,8333,9107,9995,10811,11672,12541,13422,14420,16078,17650,18927,20346
,Istanbul,38.9637,35.2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,26,55,108,202,378,697,863,1056,1373,2048,3216,4178,5203,6112,7639,8852,10238,11811,13512,15282,17059,19257,21581,23871,26551,29452,32156,34466,36760,39177,41887,44345,46481,48726,51365,53968,55709,57468,59230,60846,62176,63379,64730,66388,67864,69099,70219,71162,72073,73107,74379,75495,76539,77411,78282,78911,79873,80798,81721,82686,83595,84367,85021,85598,86147,86689,87227,87896,88540,89098,89633,90217,90885,91529,92084,92557,93024,93468,93958,94515,95040,95536,96052,96610,97171,97692,98249,98924,99747,100629,101528,102356,103163,103899,104585,105289,105962,106646,107362,108205,109028,109816,110591,111356,112132,112862,113535,114204,114866,115518,116166,116779
,Milan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,15,29,30,46,58,93,145,197,267,361,406,506,592,925,1146,1307,1551,1750,1983,2326,2644,3278,3804,4672,5096,5326,5701,6074,6922,7469,7783,8329,8676,8911,9522,9956,10391,10819,11230,11538,11787,12039,12479,12748,13268,13680,14161,14350,14675,14952,15277,15546,15825,16112,16520,16898,17277,17689,17908,18371,18559,18837,19121,19337,19701,19950,20102,20254,20398,20711,20893,21094,21272,21376,21490,21626,21731,21848,21966,22041,22151,22222,22324,22372,22455,22528,22616,22680,22726,22764,22832,22908,22982,23044,23076,23094,23139,23176,23207,23306,23365,23408,23437,23483,23510,23581,23669,23766,23811,23863,23905,23966,24018,24061,24130,24161,24184,24210,24239,24267,24285,24304,24320,24356,24379,24403,24428,24452,24471,24487,24499
,Rome,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,6,7,14,29,42,49,71,77,91,95,99,162,218,288,354,412,486,590,678,755,893,1049,1171,1287,1428,1567,1703,1839,1945,2068,2186,2260,2393,2503,2620,2714,2769,2830,2910,3026,3114,3219,3315,3431,3560,3665,3767,3888,4018,4082,4133,4189,4257,4313,4361,4434,4501,4569,4642,4694,4756,4807,4863,4911,4948,5014,5080,5117,5164,5202,5229,5250,5266,5291,5308,5371,5397,5436,5466,5474,5494,5509,5534,5549,5565,5576,5591,5602,5614,5627,5632,5643,5649,5654,5664,5675,5684,5702,5719,5735,5754,5765,5781,5805,5830,5844,5847,5856,5866,5874,5882,5894,5903,5911,5917,5917,5917,5917,5918,5919,5920,5921,5922,5923,5924,5925,5936,5951
,Florence,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,7,7,7,7,12,20,23,27,39,51,61,71,86,101,132,162,186,214,295,349,401,451,514,548,622,709,764,764,855,957,1022,1087,1158,1419,1543,1626,1715,1769,1805,1871,1961,2069,2154,2259,2269,2311,2372,2443,2494,2563,2609,2653,2704,2760,2795,2849,2924,2967,3011,3039,3079,3120,3156,3193,3210,3224,3242,3257,3275,3296,3305,3316,3322,3333,3340,3353,3371,3385,3403,3406,3411,3413,3420,3436,3445,3451,3451,3452,3456,3457,3458,3464,3467,3468,3471,3473,3473,3478,3482,3483,3485,3486,3487,3492,3497,3504,3510,3513,3513,3513,3514,3516,3516,3517,3517,3518,3518,3518,3518,3518,3518,3518,3518,3518,3518,3518,3518,3518,3518
