Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20
,Grisons,46.6175,9.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,6,9,10,13,15,16,18,19,28,32,44,53,65,73,93,118,152,204,252,283,311,327,386,419,458,487,513,527,542,591,617,635,655,678,680,682,699,715,734,740,749,752,752,755,762,769,775,777,784,787,794,797,798,802,803,806,807,809,814,814,815,816,816,816,817,817,819,820,820,820,820,821,823,823,823,823,823,823,824,825,825,825,826,826,826,827,827,827,827,827,827,827,827,828,828,828,828,828,828,828,828,829,830,830,830,830,830,830,830,830,830,830,830,831,831,831,833,836,836,836,836,837
,Jura,47.327,7.2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,5,5,7,7,7,12,17,18,19,25,29,32,36,44,54,61,69,82,92,100,114,119,127,128,140,145,149,149,154,160,164,171,174,179,182,183,183,184,185,188,189,191,192,192,195,195,196,196,196,196,196,196,197,197,198,198,198,198,198,201,201,201,202,202,202,202,202,202,202,202,202,202,202,203,203,204,204,204,204,204,204,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,206,206,206,206,206,206,206,206,208,208,208,208,210,211,214,216,216,217
,Luzern,47.0305,8.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,92,109,131,156,205,228,253,287,317,339,351,375,401,422,449,469,478,497,509,527,542,560,568,576,580,589,596,599,607,623,626,633,643,648,654,660,667,670,674,677,687,694,703,704,705,705,706,709,710,713,713,713,713,715,715,715,715,719,723,726,727,732,732,733,733,733,733,734,735,735,735,735,735,735,735,735,735,735,735,736,736,736,736,736,736,736,738,738,740,740,740,741,741,744,745,746,747,747,749,749,752,754,760
,Neuchatel,47.0065,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,9,13,18,24,27,31,37,46,59,68,74,93,114,146,175,189,200,216,247,265,280,299,316,337,346,378,402,420,430,444,452,463,485,509,513,545,564,573,583,588,599,612,621,630,633,634,643,648,655,662,665,666,667,672,676,680,685,688,688,689,691,695,700,704,710,710,712,714,716,716,716,716,716,718,719,721,723,723,723,724,724,724,725,725,725,726,726,726,726,727,730,731,732,733,733,735,735,735,735,736,737,737,737,738,739,739,741,742,743,743,744,744,744,745,745,745,745,745
,Nidwalden,46.896,8.399999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,8,10,12,18,25,28,33,36,39,42,44,48,54,55,59,63,70,70,76,79,80,80,86,87,93,96,100,103,104,104,105,106,106,107,108,108,108,108,108,108,108,108,110,110,111,111,113,113,113,113,113,113,113,115,115,115,115,117,118,120,122,122,123,123,123,123,123,123,123,123,123,123,123,123,123,123,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
,Obwalden,46.8665,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,25,25,27,30,37,37,37,46,46,48,51,56,56,56,60,60,61,62,62,62,62,62,64,64,65,66,66,66,67,67,67,68,71,71,71,75,78,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,80,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83
,Sankt Gallen,47.2085,9.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,15,15,15,15,15,47,61,85,98,98,98,185,200,228,280,306,339,365,389,394,414,455,480,504,515,532,557,578,604,632,641,649,657,664,676,680,693,699,705,711,718,724,736,745,753,761,767,775,776,780,788,788,788,793,793,794,795,798,798,798,801,802,802,802,803,803,803,806,806,807,807,807,807,807,807,807,808,808,808,808,808,808,808,809,809,809,809,809,809,809,811,811,811,811,811,811,811,820,820,820,820,820,822,823,825,828,831,831,831,837,843
,Schaffhausen,47.677499999999995,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,8,12,17,28,30,32,34,35,36,37,40,41,42,44,44,47,47,47,49,50,50,50,52,53,55,57,57,57,59,60,60,61,62,63,63,63,65,70,71,72,73,74,74,75,75,75,75,75,75,75,76,76,76,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,81,81,81,81,81,81,81,81,81,81,81,81,81,81,83,83
,Solothurn,47.2885,7.6834999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66,66,66,95,104,129,141,157,173,190,190,196,216,227,237,250,258,261,264,276,282,294,306,315,321,325,329,343,350,353,355,355,359,368,375,376,379,380,382,383,384,388,390,392,398,400,402,403,406,407,407,407,420,421,423,425,427,427,427,432,434,436,439,439,439,439,439,439,439,440,440,440,440,440,443,445,446,446,446,446,446,446,446,446,446,446,448,448,448,449,449,451,451,451,451,451,452,453,453,453,453,456,459
,Schwyz,47.057500000000005,8.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,6,6,6,6,6,6,9,9,13,13,13,13,13,13,13,13,13,97,97,107,119,122,128,135,140,146,155,165,168,170,178,185,196,213,215,249,251,251,258,261,265,266,266,268,272,276,282,282,284,287,293,293,295,295,302,303,304,304,305,305,305,305,305,306,306,306,306,306,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,308,308,308,308,308,308,308,308,309,309,309,313,313,316,317,320,323,323,328,328
,Thurgau,47.534499999999994,9.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,5,7,8,11,17,23,32,37,50,57,76,82,88,97,111,118,135,139,149,155,167,180,199,209,214,220,222,237,256,265,275,286,293,297,303,309,322,333,334,336,340,341,354,359,360,361,361,362,363,365,367,368,368,372,373,374,374,374,376,376,376,376,376,378,379,379,379,379,379,379,379,379,380,380,380,380,380,380,381,383,383,383,383,383,383,383,383,383,384,384,384,384,384,384,384,384,384,385,385,385,385,385,385,386,387,389,391,393,393,394,395
,Ticino,46.2205,8.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,8,13,25,28,41,49,61,75,108,163,206,265,293,368,426,511,638,849,916,945,1162,1209,1354,1401,1688,1727,1837,1962,2091,2195,2271,2377,2442,2508,2546,2599,2659,2714,2776,2818,2869,2900,2912,2927,2953,2977,2994,3032,3058,3065,3089,3106,3121,3142,3161,3169,3176,3191,3210,3218,3225,3235,3238,3239,3245,3253,3257,3260,3265,3268,3268,3272,3272,3279,3280,3284,3285,3285,3287,3301,3304,3304,3305,3306,3308,3308,3310,3313,3313,3315,3315,3315,3315,3316,3316,3316,3316,3316,3316,3316,3317,3317,3318,3321,3321,3321,3323,3324,3324,3325,3325,3326,3327,3327,3327,3327,3327,3327,3328,3329
,Uri,46.759,8.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,5,7,7,12,12,22,25,25,38,40,48,50,53,57,59,60,62,66,67,67,68,72,72,74,75,77,78,78,78,78,78,78,78,78,78,78,78,78,78,80,83,85,85,86,87,89,90,91,91,91,92,92,92,92,92,92,92,92,92,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,94,94,94,95,97
,Vaud,46.587,6.656499999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,40,51,130,203,277,370,477,566,796,1039,1303,1513,1754,1873,1975,2281,2546,2738,2943,3177,3308,3393,3605,3764,3916,4050,4186,4258,4297,4416,4496,4587,4684,4732,4772,4809,4853,4920,4970,4999,5031,5049,5060,5092,5124,5145,5176,5199,5212,5220,5238,5260,5274,5287,5304,5313,5318,5326,5337,5356,5361,5372,5379,5380,5387,5397,5406,5411,5415,5415,5417,5422,5426,5430,5430,5434,5440,5442,5442,5445,5447,5449,5452,5453,5454,5454,5458,5460,5463,5465,5467,5468,5469,5472,5473,5477,5484,5484,5485,5488,5496,5501,5503,5509,5510,5512,5523,5529,5537,5540,5546,5549,5557,5567,5567
,Valais,46.256,7.624499999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,5,6,7,12,17,22,30,53,76,98,115,172,225,312,349,436,498,535,628,728,793,874,968,1017,1055,1144,1211,1282,1334,1385,1418,1433,1499,1538,1573,1602,1631,1657,1670,1684,1711,1727,1744,1764,1773,1780,1797,1804,1810,1826,1835,1840,1842,1857,1868,1880,1887,1892,1895,1897,1905,1907,1910,1912,1915,1916,1917,1921,1921,1922,1924,1933,1936,1936,1937,1938,1938,1939,1939,1939,1940,1942,1945,1946,1947,1947,1947,1949,1950,1951,1951,1953,1956,1956,1959,1964,1965,1969,1973,1977,1977,1977,1981,1985,1987,1988,1996,2000,2001,2006,2012,2022,2029,2029,2029,2029,2029,2029
