Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20
,Peru,-9.19,-75.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,11,11,15,28,38,43,86,117,145,234,234,318,363,395,416,480,580,635,671,852,950,1065,1323,1414,1595,1746,2281,2561,2954,4342,5256,5897,6848,7519,9784,10303,11475,12491,13489,14420,15628,16325,17837,19250,20914,21648,25331,27517,28699,31190,33931,36976,40459,42534,45928,47372,51189,54817,58526,61847,65015,67307,68822,72059,76306,80604,84495,88541,92273,94933,99483,104020,108769,111698,115754,119959,123979,129751,135905,141779,148285,155671,164476,170039,170039,178914,183198,187400,191758,196515,199696,203736,208823,214788,214788,220749,229736,232992,237156,240908,244388,247925,251338,254936,257447
,Lima,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,8,9,15,23,30,44,65,80,96,143,196,223,250,283,309,356,441,481,502,587,697,785,982,1053,1216,1383,2021,2361,2864,3492,4238,4861,5682,6701,7226,8189,8854,9646,10509,11128,12009,12844,14241,15823,17218,18551,19850,21266,22225,24242,26001,28536,30324,31671,33626,34811,36995,39457,41781,44235,46287,47728,48331,50650,53669,56483,58728,61119,63488,64763,67692,70542,73513,76553,79978,82853,83790,87747,91783,95958,99616,102780,105330,106694,108695,110560,111486,113370,116028,118495,120032,122192,124649,127348,129306,130907,132769,134176,136127,137610,139112,140553,141638,142931,143365,143365
,Amazonas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,14,19,19,19,26,26,34,41,44,45,48,49,52,59,62,64,70,80,89,108,140,168,210,295,345,347,373,385,396,405,424,428,428,440,451,459,462,485,517,518,536,566,576,630,655,662,666,715,736,752,776,786,798,810,823,834,861,890,917,937,943,988,1048,1095,1132,1200,1252,1263,1448,1479,1522,1549,1589,1612,1612,1612
,Ancash,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,7,7,9,9,11,11,20,27,40,66,76,89,105,131,138,158,186,229,267,293,350,360,395,441,471,519,579,666,679,727,829,910,1018,1085,1205,1232,1344,1469,1543,1621,1674,1743,1753,1874,1975,2127,2306,2472,2575,2624,2721,3002,3127,3261,3441,3581,3633,3812,3999,4224,4466,4640,4786,4820,4958,5097,5216,5329,5412,5524,5627,5794,5921,6055,6189,6309,6456,6545,6658,6777,6873,7000,7102,7201,7241,7241
,Apurimac,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,12,22,26,30,36,41,41,42,50,54,59,61,80,85,97,107,120,155,155,160,160,166,169,170,170,170,171,171,174,179,181,183,186,186,188,192,195,195,200,214,223,223,245,247,255,264,273,282,285,291,304,315,333,345,358,363,373,387,392,405,418,421,422,426,427,435,441,445,471,496,496
,Arequipa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,10,10,10,10,16,21,25,25,32,32,46,55,62,269,274,280,282,294,309,321,334,361,402,414,447,450,478,506,549,605,671,695,699,775,851,962,1031,1069,1100,1107,1167,1224,1280,1327,1366,1425,1450,1501,1605,1717,1838,1934,2019,2027,2113,2235,2391,2535,2732,2878,2913,3105,3234,3420,3606,3778,3874,3894,3955,4054,4109,4160,4278,4416,4450,4553,4679,4823,4923,5042,5213,5232,5317,5406,5575,5642,5749,5815,5904,5904
,Ayacucho,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,7,9,11,11,11,16,21,25,26,30,30,33,36,37,39,41,46,53,66,84,97,129,150,176,196,201,228,246,269,284,309,320,322,337,356,376,389,439,479,488,503,520,537,559,600,636,642,668,692,745,775,792,844,848,880,907,925,965,983,1012,1022,1063,1095,1115,1153,1190,1250,1258,1318,1346,1387,1429,1506,1527,1539,1539
,Cajamarca,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,8,14,14,14,14,18,25,35,40,50,57,59,70,79,114,122,144,160,163,173,187,216,263,282,311,324,338,352,362,370,380,386,388,401,423,426,438,458,471,473,492,520,544,563,592,633,640,671,702,721,753,773,788,793,824,847,877,898,950,993,1006,1049,1093,1140,1190,1257,1309,1332,1372,1385,1442,1491,1538,1583,1591,1591
,Callao,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,9,11,11,16,26,26,38,60,66,80,254,302,368,418,545,593,681,987,1025,1335,1418,1517,1617,1733,1840,1918,2292,2724,2847,3006,3130,3301,3368,3598,3798,3987,4242,4357,4571,4666,4867,5137,5390,5719,5943,6128,6170,6382,6698,7049,7374,7684,7899,8007,8245,8627,8982,9364,9792,10138,10210,10619,11115,11626,12136,12494,12744,12886,13074,13261,13415,13628,13867,14133,14231,14508,14721,15139,15467,15758,15958,16108,16237,16326,16550,16780,16944,17067,17135,17135
,Cusco,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,5,9,9,9,9,15,23,23,31,35,42,46,56,58,58,58,61,63,66,109,109,109,112,113,122,134,149,149,164,171,190,204,207,218,219,233,256,278,312,318,331,333,341,367,417,465,514,525,527,583,616,663,694,700,710,710,717,757,787,828,872,904,910,961,991,1028,1074,1131,1150,1151,1176,1199,1213,1243,1261,1301,1321,1338,1375,1410,1429,1477,1495,1504,1519,1532,1554,1567,1587,1622,1622,1622
,Huancavelica,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,35,35,35,37,39,39,40,44,50,51,51,53,56,57,61,64,67,81,92,110,123,143,160,228,289,314,326,362,365,370,383,388,388,389,390,395,407,413,418,427,433,449,459,476,500,506,513,525,534,548,558,569,580,583,596,601,630,644,651,662,675,688,704,721,738,751,763,769,783,786,790,793,800,810,813,813
,Huanuco,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,6,6,6,6,6,6,6,9,196,201,208,211,218,222,227,237,251,262,300,320,324,331,341,346,355,364,412,418,438,453,466,485,493,496,500,516,526,537,549,554,567,569,585,598,660,686,709,717,722,739,759,776,786,822,844,851,881,902,934,958,991,1001,1010,1029,1057,1095,1175,1218,1233,1247,1290,1325,1361,1452,1504,1553,1576,1639,1676,1719,1787,1845,1881,1889,1889
,Ica,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,12,16,23,32,41,46,61,80,83,110,116,129,152,174,193,197,225,247,279,313,329,356,366,417,507,638,679,714,762,790,852,889,949,1025,1122,1159,1171,1213,1307,1380,1464,1566,1684,1718,1900,1988,2087,2259,2353,2431,2451,2698,2866,3076,3208,3504,3612,3640,3818,4012,4132,4233,4340,4490,4568,4727,4879,5069,5238,5426,5579,5603,5719,5788,5949,6019,6110,6227,6247,6247
